"PARENT COMPANY","year","GHG"
"HEARTLAND CORN PRODUCTS","2020",174011
"HEARTLAND CORN PRODUCTS","2021",192913
"HEARTLAND CORN PRODUCTS","2022",201348
"HEAVEN HILL DISTILLERIES INC","2020",30083
"HEAVEN HILL DISTILLERIES INC","2021",26809
"HEAVEN HILL DISTILLERIES INC","2022",27351
"HECLA GREENS CREEK MINE","2020",14597
"HECLA GREENS CREEK MINE","2021",6603
"HECLA GREENS CREEK MINE","2022",13726
"HECLA GREENS CREEK MINING CO","2015",5025
"HECLA GREENS CREEK MINING CO","2016",6178
"HEI","2018",155487
"HEI","2019",224951
"HELIS OIL & GAS CO LLC","2019",56662
"HELIS OIL & GAS CO LLC","2020",26698
"HELIS OIL & GAS CO LLC","2021",67353
"HELIS OIL & GAS LLC","2015",43275
"HELIS OIL & GAS LLC","2016",33307
"HELIS OIL & GAS LLC","2017",33804
"HELIS OIL & GAS LLC","2018",20612
"HENNEPIN COUNTY","2019",151541
"HENNEPIN COUNTY","2020",149790
"HENNEPIN COUNTY","2021",162739
"HENNEPIN COUNTY ENVIRONMENTAL SERVICES","2015",143225
"HENNEPIN COUNTY ENVIRONMENTAL SERVICES","2016",160937
"HENNEPIN COUNTY ENVIRONMENTAL SERVICES","2017",168778
"HENNEPIN COUNTY ENVIRONMENTAL SERVICES","2018",150290
"HENNEPIN COUNTY MINNESOTA","2022",201527
"HENRICO COUNTY DEPARTMENT OF PUBLIC WORKS","2015",12068
"HENRY COUNTY COMMISSIONERS","2015",23270
"HENRY COUNTY COMMISSIONERS","2016",22402
"HENRY COUNTY COMMISSIONERS","2017",21567
"HENRY RESOURCES LLC","2018",25752
"HENRY RESOURCES LLC","2019",32502
"HENRY RESOURCES LLC","2020",31850
"HENRY RESOURCES LLC","2021",63995
"HENRY RESOURCES LLC","2022",36146
"HEOROT POWER HOLDINGS LLC","2016",1933906
"HEOROT POWER HOLDINGS LLC","2017",1049123
"HEOROT POWER HOLDINGS LLC","2018",1071030
"HEOROT POWER HOLDINGS LLC","2019",917116
"HEOROT POWER HOLDINGS LLC","2020",508530
"HEOROT POWER HOLDINGS LLC","2021",692197
"HEOROT POWER HOLDINGS LLC","2022",730172
"HERCULES CEMENT HOLDING CO","2011",6086.62
"HERCULES CEMENT HOLDING CO","2012",6659.51
"HERCULES CEMENT HOLDING CO","2013",6605.01
"HERCULES CEMENT HOLDING CO","2014",6697.25
"HERITAGE - CRYSTAL CLEAN LLC","2018",33496
"HERITAGE ENVIRONMENTAL SERVICES, LLC","2011",2360
"HERITAGE ENVIRONMENTAL SERVICES, LLC","2012",3017
"HERITAGE ENVIRONMENTAL SERVICES, LLC","2013",1912
"HERITAGE ENVIRONMENTAL SERVICES, LLC","2014",1648
"HERITAGE-CRYSTAL CLEAN INC","2019",35940
"HERITAGE-CRYSTAL CLEAN INC","2020",36564
"HERITAGE-CRYSTAL CLEAN INC","2021",53339
"HERITAGE-CRYSTAL CLEAN INC","2022",52603
"HERNANDO COUNTY FL","2015",88930
"HERNANDO COUNTY FL","2016",127825
"HERNANDO COUNTY FL","2017",127169
"HERNANDO COUNTY FL","2018",138363
"HERNANDO COUNTY FLORIDA","2019",76480
"HERNANDO COUNTY FLORIDA","2020",118994
"HERNANDO COUNTY FLORIDA","2021",139251
"HERNANDO COUNTY FLORIDA","2022",131766
"HERON LAKE BIOENERGY LLC","2015",90528
"HERON LAKE BIOENERGY LLC","2016",88541
"HERON LAKE BIOENERGY LLC","2017",92556
"HERON LAKE BIOENERGY LLC","2018",92810
"HERON LAKE BIOENERGY, LLC","2011",142105
"HERON LAKE BIOENERGY, LLC","2012",81410
"HERON LAKE BIOENERGY, LLC","2013",82436
"HERON LAKE BIOENERGY, LLC","2014",82993
"HESS CORP","2011",632001.7429
"HESS CORP","2012",549792.5673
"HESS CORP","2013",104225.6781
"HESS CORP","2014",89744.1967
"HESS CORP","2015",2589774.6933
"HESS CORP","2016",2404856.2835
"HESS CORP","2017",2197549.0173
"HESS CORP","2018",2841642.0871
"HESS CORP","2019",3578172.8577
"HESS CORP","2020",2975324.9668
"HESS CORP","2021",2283105.7421
"HESS CORP","2022",1972722.128
"HESS CORPORATION","2012",29331
"HESS CORPORATION","2013",27179
"HESS CORPORATION","2014",84957
"HEXCEL CORP","2011",66908
"HEXCEL CORP","2012",70490
"HEXCEL CORP","2013",72531
"HEXCEL CORP","2014",74291
"HEXCEL CORP","2015",90651
"HEXCEL CORP","2016",104502
"HEXCEL CORP","2017",116331
"HEXCEL CORP","2018",134101
"HEXCEL CORP","2019",146968
"HEXCEL CORP","2020",88456
"HEXCEL CORP","2021",97017
"HEXCEL CORP","2022",141179
"HEXION HOLDINGS CORP","2019",27266
"HEXION HOLDINGS CORP","2020",25026
"HEXION LLC","2015",61408
"HEXION LLC","2016",76658
"HEXION LLC","2017",26608
"HEXION LLC","2018",27123
"HF SINCLAIR CORP","2022",4856054
"HG ENERGY II APPALACHIA LLC","2019",88980
"HG ENERGY II APPALACHIA LLC","2020",111107
"HG ENERGY II APPALACHIA LLC","2021",151868
"HG ENERGY II APPALACHIA LLC","2022",172815
"HG Energy II Appalachia, LLC","2018",78371
"HI-CRUSH INC","2019",86431
"HI-CRUSH INC","2020",37522
"HI-CRUSH INC","2021",47880
"HI-CRUSH INC","2022",97919
"HI-CRUSH PARTNERS LP","2018",72330
"HIBERNIA RESOURCES III LLC","2019",26303
"HIBERNIA RESOURCES III LLC","2021",72153
"HIBERNIA RESOURCES III LLC","2022",105973
"HICKORY RUN ENERGY LLC","2020",1589676
"HICKORY RUN ENERGY LLC","2022",2284365
"HIG BBC HOLDINGS CORP","2015",332872
"HIG BBC HOLDINGS CORP","2016",332130
"HIG BBC HOLDINGS CORP","2017",357762
"HIG Capital","2022",464317
"HIGH RIVER RESOURCES LLC","2021",77970
"HIGH RIVER RESOURCES LLC","2022",46197
"HIGH SIERRA LIMITED","2011",21615
"HIGH SIERRA LIMITED","2012",7566
"HIGH SIERRA LIMITED","2013",4855
"HIGH SIERRA LIMITED","2014",15558
"HIGH SIERRA LTD","2015",28843
"HIGH SIERRA LTD","2016",5814
"HIGH SIERRA LTD","2017",13245
"HIGH SIERRA LTD","2018",15355
"HIGH SIERRA LTD","2019",9205
"HIGH SIERRA LTD","2020",12180
"HIGH SIERRA LTD","2021",10944
"HIGH SIERRA LTD","2022",23623
"HIGHLANDER OIL & GAS ASSETS LLC","2020",96989.76
"HIGHLANDER OIL & GAS ASSETS LLC","2021",69003.36
"HIGHPOINT RESOURCES CORP","2019",335208
"HIGHPOINT RESOURCES CORP","2020",361880
"HIGHSTAR CAPITAL","2015",1533941
"HIGHSTAR CAPITAL","2016",1587681
"HIGHSTAR CAPITAL","2017",1572993
"HIGHSTAR CAPITAL","2018",1195991.3
"HIGHSTAR CAPITAL","2019",1644130.32
"HIGHSTAR CAPITAL LLC","2020",369742.52
"HIGHSTAR LINDEN CIV A LLC","2015",263096.328645
"HIGHSTAR LINDEN CIV A LLC","2016",274148.033364
"HIGHSTAR LINDEN CIV A LLC","2017",288684.269595
"HIGHSTAR LINDEN PRISM/IV-A INTERCO LLC","2015",361802.74731
"HIGHSTAR LINDEN PRISM/IV-A INTERCO LLC","2016",377000.743992
"HIGHSTAR LINDEN PRISM/IV-A INTERCO LLC","2017",396990.57141
"HIGHWATER ETHANOL LLC","2015",78453
"HIGHWATER ETHANOL LLC","2016",77879
"HIGHWATER ETHANOL LLC","2017",80231
"HIGHWATER ETHANOL LLC","2018",77312
"HIGHWATER ETHANOL LLC","2019",75549
"HIGHWATER ETHANOL LLC","2020",73526
"HIGHWATER ETHANOL LLC","2021",78374
"HIGHWATER ETHANOL LLC","2022",81427
"HIGHWATER ETHANOL, LLC","2011",72795
"HIGHWATER ETHANOL, LLC","2012",70845
"HIGHWATER ETHANOL, LLC","2013",74737
"HIGHWATER ETHANOL, LLC","2014",75922
"HILCORP ALASKA LLC","2021",35667.2376
"HILCORP ENERGY CO","2015",2943953.49328
"HILCORP ENERGY CO","2016",3887158.03975
"HILCORP ENERGY CO","2017",6648677.84243
"HILCORP ENERGY CO","2018",7065606.38869
"HILCORP ENERGY CO","2019",6996785.65761
"HILCORP ENERGY CO","2020",6886462.47066
"HILCORP ENERGY CO","2021",5569474.8252
"HILCORP ENERGY CO","2022",5284183.9676
"HILCORP ENERGY COMPANY","2011",56085
"HILCORP ENERGY COMPANY","2012",38809
"HILCORP ENERGY COMPANY","2013",52719
"HILCORP ENERGY COMPANY","2014",193830
"HILL TOP MM RH LP","2022",241373.5212
"HILLSBORO ENERGY LLC","2013",55053
"HILLSBORO ENERGY LLC","2014",72068
"HILLSBORO ENERGY LLC","2015",43580
"HILLSBOROUGH COUNTY","2015",74874
"HILLSBOROUGH COUNTY","2016",89077
"HILLSBOROUGH COUNTY","2017",132513
"HILLSBOROUGH COUNTY","2018",84826
"HILLSBOROUGH COUNTY","2019",90745
"HILLSBOROUGH COUNTY","2020",118359
"HILLSBOROUGH COUNTY","2021",162090
"HILLSBOROUGH COUNTY FLORIDA","2022",101407
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2015",251324
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2016",221268
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2017",201877
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2018",259117
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2019",201101
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2020",192981
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2021",224095
"HILLSBOROUGH COUNTY PUBLIC UTILITIES DEPARTMENT","2022",201402
"HILMAR CHEESE CO","2012",25350
"HILMAR CHEESE CO","2013",25298
"HILMAR CHEESE CO","2014",25611
"HILMAR CHEESE CO","2015",100632
"HILMAR CHEESE CO","2016",102030
"HILMAR CHEESE CO","2017",123637
"HILMAR CHEESE CO","2018",128813
"HILMAR CHEESE CO","2019",115893
"HILMAR CHEESE CO","2020",114249
"HILMAR CHEESE CO","2021",118567
"HILMAR CHEESE CO","2022",117221
"HINKLE OIL & GAS INC","2017",73697
"HINKLE OIL & GAS INC","2018",67112
"HINKLE OIL & GAS INC","2019",70551
"HINKLE OIL & GAS INC","2020",70130
"HINKLE OIL & GAS INC","2021",59224
"HINKLE OIL & GAS INC","2022",1287
"HITACHI AMERICA LTD","2011",54005
"HITACHI AMERICA LTD","2012",58352
"HITACHI AMERICA LTD","2013",30937
"HITACHI AMERICA LTD","2014",32827
"HITACHI AMERICA LTD","2015",34111
"HITACHI AMERICA LTD","2016",37693
"HITACHI AMERICA LTD","2017",38161
"HITACHI AMERICA LTD","2018",39842
"HITACHI METALS AMERICA LTD","2015",22592
"HITACHI METALS AMERICA LTD","2016",606467
"HITACHI METALS AMERICA LTD","2017",623095
"HITACHI METALS AMERICA LTD","2018",654654
"HITACHI METALS AMERICA LTD","2019",617733
"HITACHI METALS AMERICA LTD","2020",490614
"HITACHI METALS AMERICA LTD","2021",564717
"HITACHI METALS AMERICA LTD","2022",551024
"HITACHI Metals AMERICA LTD","2013",27366
"HITACHI Metals AMERICA LTD","2014",26561
"HJ HEINZ CO LP","2015",53406
"HJ HEINZ CO LP","2016",47957
"HJ HEINZ CO, LP","2011",42421
"HJ HEINZ CO, LP","2012",44757
"HJ HEINZ CO, LP","2013",57856
"HJ HEINZ CO, LP","2014",49591
"HJ Heinz Co, LP","2010",45255
"HOEGANAES CORP","2015",63624
"HOEGANAES CORP","2016",62028
"HOEGANAES CORP","2017",59291
"HOEGANAES CORP","2018",66112
"HOLCIM (US) INC","2015",8721196
"HOLCIM (US) INC","2016",8193168
"HOLCIM (US) INC","2017",8536345
"HOLCIM (US) INC","2018",9437815
"HOLCIM PARTICIPATIONS (US) INC","2019",10775101
"HOLCIM PARTICIPATIONS (US) INC","2020",11796794
"HOLCIM PARTICIPATIONS (US) INC","2021",12097922
"HOLCIM PARTICIPATIONS (US) INC","2022",12740965
"HOLLAND BOARD OF PUBLIC WORKS","2015",126873
"HOLLAND BOARD OF PUBLIC WORKS","2016",26220
"HOLLAND BOARD OF PUBLIC WORKS","2017",187840
"HOLLAND BOARD OF PUBLIC WORKS","2018",373299
"HOLLINGSWORTH & VOSE CO","2011",40322
"HOLLINGSWORTH & VOSE CO","2012",36947
"HOLLINGSWORTH & VOSE CO","2013",42302
"HOLLINGSWORTH & VOSE CO","2014",42961
"HOLLINGSWORTH & VOSE CO","2015",40884
"HOLLINGSWORTH & VOSE CO","2016",37153
"HOLLINGSWORTH & VOSE CO","2017",29933
"HOLLINGSWORTH & VOSE CO","2018",34566
"HOLLINGSWORTH & VOSE CO","2019",57680
"HOLLINGSWORTH & VOSE CO","2020",52074
"HOLLINGSWORTH & VOSE CO","2021",52600
"HOLLINGSWORTH & VOSE CO","2022",65842
"HOLLYFRONTIER CORP","2011",4003302
"HOLLYFRONTIER CORP","2012",4190725
"HOLLYFRONTIER CORP","2013",4232701
"HOLLYFRONTIER CORP","2014",4210474
"HOLLYFRONTIER CORP","2015",4976145
"HOLLYFRONTIER CORP","2016",5145030
"HOLLYFRONTIER CORP","2017",4963166
"HOLLYFRONTIER CORP","2018",5022977
"HOLLYFRONTIER CORP","2019",5017980
"HOLLYFRONTIER CORP","2020",4843474
"HOLLYFRONTIER CORP","2021",4206109
"HOLLYFRONTIER CORP","2022",1412231
"HOLLYFRONTIER PUGET SOUND REFINING LLC","2022",1907858
"HOLMES WESTERN OIL CORP","2015",30345
"HOLMES WESTERN OIL CORP","2016",36993
"HOLMES WESTERN OIL CORP","2017",30445
"HOLMES WESTERN OIL CORP","2018",34482
"HOLMES WESTERN OIL CORP","2019",38085
"HOLMES WESTERN OIL CORP","2020",28733
"HOLMES WESTERN OIL CORP","2021",30281
"HOLMES WESTERN OIL CORP","2022",31168
"HOLY CROSS ELECTRIC ASSOC INC","2015",352968.8263
"HOLY CROSS ELECTRIC ASSOC INC","2016",368860.8678
"HOLY CROSS ELECTRIC ASSOC INC","2017",376810.8062
"HOLY CROSS ELECTRIC ASSOC INC","2018",390421.8117
"HOLY CROSS ELECTRIC ASSOC INC","2019",344857.6148
"HOLY CROSS ELECTRIC ASSOC INC","2020",186584.6805
"HOLY CROSS ELECTRIC ASSOC INC","2021",333671.9908
"HOLY CROSS ELECTRIC ASSOC INC","2022",253795.9258
"HOLY CROSS ELECTRIC ASSOC, INC","2011",303455.4706
"HOLY CROSS ELECTRIC ASSOC, INC","2012",371168.1332
"HOLY CROSS ELECTRIC ASSOC, INC","2013",366735.4484
"HOLY CROSS ELECTRIC ASSOC, INC","2014",333299.2903
"HOME GROWN FUELS","2015",3850.1724
"HOME GROWN FUELS","2016",3662.7144
"HOME GROWN FUELS","2017",7550.2988
"HOME GROWN FUELS","2018",8843.0028
"HOMELAND ENERGY SOLUTIONS LLC","2015",203966
"HOMELAND ENERGY SOLUTIONS LLC","2016",205044
"HOMELAND ENERGY SOLUTIONS LLC","2017",215813
"HOMELAND ENERGY SOLUTIONS LLC","2018",255403
"HOMELAND ENERGY SOLUTIONS LLC","2019",268382
"HOMELAND ENERGY SOLUTIONS LLC","2020",257377
"HOMELAND ENERGY SOLUTIONS LLC","2021",268832
"HOMELAND ENERGY SOLUTIONS LLC","2022",249086
"HOMELAND ENERGY SOLUTIONS, LLC","2011",204561
"HOMELAND ENERGY SOLUTIONS, LLC","2012",360197
"HOMELAND ENERGY SOLUTIONS, LLC","2013",200206
"HOMELAND ENERGY SOLUTIONS, LLC","2014",195943
"HOMER CITY GENERATION LP","2021",4452105
"HOMER CITY GENERATION LP","2022",3518325
"HOMER ELECTRIC ASSOC","2015",229107
"HOMER ELECTRIC ASSOC","2016",215109
"HOMER ELECTRIC ASSOC","2017",232348
"HOMER ELECTRIC ASSOC","2018",209099
"HOMER ELECTRIC ASSOC INC","2019",192631
"HOMER ELECTRIC ASSOC INC","2020",220305
"HOMER ELECTRIC ASSOC INC","2021",215962
"HOMER ELECTRIC ASSOC INC","2022",214398
"HOMER ELECTRIC ASSOCIATION","2014",27364
"HONEYWELL INTERNATIONAL INC","2012",26763
"HONEYWELL INTERNATIONAL INC","2013",13788
"HONEYWELL INTERNATIONAL INC","2014",20296
"HONEYWELL INTERNATIONAL INC","2015",2142941
"HONEYWELL INTERNATIONAL INC","2016",670275
"HONEYWELL INTERNATIONAL INC","2017",741415
"HONEYWELL INTERNATIONAL INC","2018",867026
"HONEYWELL INTERNATIONAL INC","2019",730011
"HONEYWELL INTERNATIONAL INC","2020",700836
"HONEYWELL INTERNATIONAL INC","2021",690774
"HONEYWELL INTERNATIONAL INC","2022",557945
"HONEYWELL INTERNATIONAL, INC","2011",4991327
"HONEYWELL INTERNATIONAL, INC","2012",4467671
"HONEYWELL INTERNATIONAL, INC","2013",2307555
"HONEYWELL INTERNATIONAL, INC","2014",2148813
"HONEYWELL INTERNATIONAL, INC","2015",25080
"HONEYWELL Resins & Chemicals LLC","2011",134270
"HONEYWELL Resins & Chemicals LLC","2012",145447
"HONEYWELL Resins & Chemicals LLC","2013",143874
"HONEYWELL Resins & Chemicals LLC","2014",153117
"HONEYWELL UOP","2021",23022
"HONEYWELL UOP","2022",26041
"HOOD COMPANIES INC","2015",135007
"HOOD COMPANIES INC","2016",125100
"HOOD COMPANIES INC","2017",140979
"HOOD COMPANIES INC","2018",145593
"HOOD CONTAINER OF LOUISIANA LLC","2016",124738
"HOOD CONTAINER OF LOUISIANA LLC","2017",135616
"HOOD CONTAINER OF LOUISIANA LLC","2018",118269
"HOOD COS INC","2019",263079
"HOOD COS INC","2020",274236
"HOOD COS INC","2021",346254
"HOOD COS INC","2022",293003
"HOOSIER ENERGY REC INC","2011",136393.5
"HOOSIER ENERGY REC INC","2012",213833
"HOOSIER ENERGY REC INC","2013",106584
"HOOSIER ENERGY REC INC","2014",6988218
"HOOSIER ENERGY REC INC","2015",5333136.5
"HOOSIER ENERGY REC INC","2016",6394237.5
"HOOSIER ENERGY REC INC","2017",5060833.5
"HOOSIER ENERGY REC INC","2018",6029514
"HOOSIER ENERGY REC INC","2019",4955681.5
"HOOSIER ENERGY REC INC","2020",3282924
"HOOSIER ENERGY REC INC","2021",5948204
"HOOSIER ENERGY REC INC","2022",483755.5
"HOPKINSVILLE ELEVATOR CO","2011",55675
"HOPKINSVILLE ELEVATOR CO","2012",49191
"HOPKINSVILLE ELEVATOR CO","2013",53378
"HOPKINSVILLE ELEVATOR CO","2014",51158
"HOPKINSVILLE ELEVATOR CO","2015",52288
"HOPKINSVILLE ELEVATOR CO","2016",49042
"HOPKINSVILLE ELEVATOR CO","2017",50467
"HOPKINSVILLE ELEVATOR CO","2018",53797
"HOPKINSVILLE ELEVATOR CO","2019",62903
"HOPKINSVILLE ELEVATOR CO","2020",63620
"HOPKINSVILLE ELEVATOR CO","2021",67182
"HOPKINSVILLE ELEVATOR CO","2022",68300
"HORMEL FOODS CORP","2011",74951
"HORMEL FOODS CORP","2012",77985
"HORMEL FOODS CORP","2013",80218
"HORMEL FOODS CORP","2014",80315
"HORMEL FOODS CORP","2015",79110
"HORMEL FOODS CORP","2016",79725
"HORMEL FOODS CORP","2017",77102
"HORMEL FOODS CORP","2018",50575
"HORMEL FOODS CORP","2019",61277
"HORMEL FOODS CORP","2020",58895
"HORMEL FOODS CORP","2021",65121
"HORMEL FOODS CORP","2022",60619
"HORRY COUNTY SOLID WASTE AUTHORITY","2015",71476
"HORRY COUNTY SOLID WASTE AUTHORITY","2016",148473
"HORRY COUNTY SOLID WASTE AUTHORITY","2017",151840
"HORRY COUNTY SOLID WASTE AUTHORITY","2018",166317
"HORSEHEAD HOLDING CORP","2011",1243331
"HORSEHEAD HOLDING CORP","2012",819002
"HORSEHEAD HOLDING CORP","2013",794686
"HORSEHEAD HOLDING CORP","2014",571920
"HORSEHEAD HOLDING CORP","2015",555209
"HORSEHEAD HOLDING CORP","2016",540152
"HORSEHEAD HOLDING CORP","2017",515251
"HOUSEHOLD HAZARDOUS MATERIALS","2019",25686
"HOUSEHOLD HAZARDOUS MATERIALS","2020",49295
"HOUSEHOLD HAZARDOUS MATERIALS","2021",45764
"HOUSEHOLD HAZARDOUS MATERIALS","2022",14317
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2015",50124
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2016",45913
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2017",46768
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2018",46348
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2019",58121
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2020",45096
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2021",59826
"HOUSTON COUNTY BOARD OF COMMISSIONERS","2022",69973
"HOUSTON LBC LP","2020",36595
"HOUSTON LBC LP","2021",22688
"HOUSTON LBC LP","2022",18865
"HOUWELING CALIFORNIA HOLDINGS INC","2015",39559
"HOUWELING CALIFORNIA HOLDINGS INC","2016",40335
"HOUWELING CALIFORNIA HOLDINGS INC","2017",40781
"HOUWELING CALIFORNIA HOLDINGS INC","2018",35499
"HOUWELING UTAH HOLDINGS INC","2019",36373
"HOUWELING UTAH HOLDINGS INC","2020",42368
"HOVENSA LLC","2010",5250184
"HOVENSA LLC","2011",4450885
"HOVENSA LLC","2012",665795
"HOVENSA LLC","2013",106038
"HOVENSA LLC","2014",101146
"HOVENSA LLC","2015",87934
"HOWARD COUNTY MARYLAND","2015",29709
"HOWARD COUNTY MARYLAND","2016",28554
"HOWARD COUNTY MARYLAND","2017",23331
"HOWARD COUNTY MARYLAND","2018",19373
"HOWARD COUNTY OF MARYLAND (INC)","2019",15696
"HOWARD COUNTY OF MARYLAND (INC)","2020",16106
"HOWARD COUNTY OF MARYLAND (INC)","2021",16060
"HOWARD COUNTY OF MARYLAND (INC)","2022",21115
"HOWARD ENERGY PARTNERS","2016",199549
"HOWARD ENERGY PARTNERS","2017",217948
"HOWARD ENERGY PARTNERS","2018",263991
"HOWARD MIDSTREAM ENERGY PARTNERS LLC","2015",98086
"HOWARD MIDSTREAM ENERGY PARTNERS LLC","2016",107264
"HOWARD MIDSTREAM ENERGY PARTNERS LLC","2017",97321
"HOWARD MIDSTREAM ENERGY PARTNERS LLC","2018",114200
"HOWARD UNIVERSITY (INC)","2020",14094
"HOWARD UNIVERSITY (INC)","2021",15047
"HOWARD UNIVERSITY (INC)","2022",15536
"HOWMET AEROSPACE INC","2020",92708
"HOWMET AEROSPACE INC","2021",111014
"HOWMET AEROSPACE INC","2022",116969
"HP HOOD LLC","2015",54431
"HP HOOD LLC","2016",66445
"HP HOOD LLC","2017",66646
"HP HOOD LLC","2018",72286
"HP HOOD LLC","2019",73458
"HP HOOD LLC","2020",71523
"HP HOOD LLC","2021",75437
"HP HOOD LLC","2022",77165
"HP Hood LLC","2010",25366
"HP Hood LLC","2011",26126
"HP Hood LLC","2012",25994
"HP Hood LLC","2013",28076
"HP Hood LLC","2014",31784
"HRM RESOURCES LLC","2020",76980
"HRM RESOURCES LLC","2021",87612
"HRM Resources III, LLC","2019",84754
"HT POWER ASSOCIATES I LLC","2022",621544.2394
"HT Power Associates I LLC","2021",314359.554537
"HUDSON ENERGY NY LLC","2020",73873.6
"HUDSON ENERGY NY LLC","2021",71028
"HUDSON ENERGY NY LLC","2022",51046
"HUHTAMAKI AMERICAS INC","2019",26123
"HUHTAMAKI AMERICAS INC","2020",19770
"HUHTAMAKI AMERICAS INC","2021",23329
"HUHTAMAKI AMERICAS INC","2022",26759
"HUHTAMAKI NORTH AMERICA INC","2015",24779
"HUHTAMAKI NORTH AMERICA INC","2016",23484
"HUHTAMAKI NORTH AMERICA INC","2017",26855
"HUHTAMAKI NORTH AMERICA INC","2018",24017
"HUMBOLDT UTILITIES","2015",400
"HUMBOLDT UTILITIES","2016",413
"HUMBOLDT UTILITIES","2017",408
"HUMBOLDT UTILITIES","2018",409
"HUMBOLDT WASTE MANAGMENT AUTHORITY","2015",27079
"HUMBOLDT WASTE MANAGMENT AUTHORITY","2016",9608
"HUMBOLDT WASTE MANAGMENT AUTHORITY","2017",8879
"HUMBOLDT WASTE MANAGMENT AUTHORITY","2018",9519
"HUMMEL STATION LLC","2021",2830394
"HUMMEL STATION LLC","2022",2916794
"HUNT CONSOLIDATED INC","2015",1075445
"HUNT CONSOLIDATED INC","2016",1084991
"HUNT CONSOLIDATED INC","2017",1223785
"HUNT CONSOLIDATED INC","2018",1333196
"HUNT CONSOLIDATED, INC","2011",970807
"HUNT CONSOLIDATED, INC","2012",1088381
"HUNT CONSOLIDATED, INC","2013",1167943
"HUNT CONSOLIDATED, INC","2014",1101766
"HUNT CRUDE OIL SUPPLY CO LLC","2019",1573159
"HUNT CRUDE OIL SUPPLY CO LLC","2020",1315110
"HUNT CRUDE OIL SUPPLY CO LLC","2021",1157519
"HUNT CRUDE OIL SUPPLY CO LLC","2022",1167234
"HUNT FOREST PRODUCTS LLC","2021",30821
"HUNT FOREST PRODUCTS LLC","2022",30750
"HUNTER RIDGE ENERGY SERVICES LLC","2015",65390
"HUNTER RIDGE ENERGY SERVICES LLC","2016",62230
"HUNTINGTON ENERGY LLC","2015",23140
"HUNTINGTON INGALLS INDUSTRIES","2011",83110
"HUNTINGTON INGALLS INDUSTRIES","2012",125807
"HUNTINGTON INGALLS INDUSTRIES","2013",96635
"HUNTINGTON INGALLS INDUSTRIES","2014",78425
"HUNTINGTON INGALLS INDUSTRIES","2015",81129
"HUNTINGTON INGALLS INDUSTRIES","2016",94229
"HUNTINGTON INGALLS INDUSTRIES","2017",55417
"HUNTINGTON INGALLS INDUSTRIES","2018",57500
"HUNTINGTON INGALLS INDUSTRIES INC","2019",55380
"HUNTINGTON INGALLS INDUSTRIES INC","2020",58398
"HUNTINGTON INGALLS INDUSTRIES INC","2021",83062
"HUNTINGTON INGALLS INDUSTRIES INC","2022",71824
"HUNTINGTON INGALLS INDUSTRIES, INC.","2010",78582
"HUNTSMAN ADVANCED MATERIALS AMERICAS, LLC","2020",17225
"HUNTSMAN CORP","2015",33262
"HUNTSMAN CORP","2016",130565
"HUNTSMAN CORP","2017",169150.5
"HUNTSMAN CORP","2018",39562
"HUNTSMAN CORP","2019",1352469
"HUNTSMAN CORP","2020",31882
"HUNTSMAN CORP","2021",50009.5
"HUNTSMAN CORP","2022",49122.5
"HUNTSMAN INTERNATIONAL LLC","2018",1220003
"HUNTSMAN PETROCHEMICAL LLC","2015",38833
"HUNTSMAN PETROCHEMICAL LLC","2016",72372
"HUNTSMAN PETROCHEMICAL LLC","2017",31438
"HUNTSMAN PETROCHEMICAL LLC","2018",29918.5
"HUNTSMAN PETROCHEMICAL LLC","2020",51786
"HUNTSMAN PETROCHEMICAL LLC","2021",49710
"HUNTSMAN PETROCHEMICAL LLC","2022",50674
"HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2015",101113
"HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2016",109820
"HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2017",102136
"HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2018",109115
"HUNTSVILLE UTILITIES","2011",10685
"HUNTSVILLE UTILITIES","2014",12952
"HUNTSVILLE UTILITIES","2015",12375
"HUNTSVILLE UTILITIES","2016",9229
"HUNTSVILLE UTILITIES","2017",8976
"HUNTSVILLE UTILITIES","2018",8868
"HUNTSVILLE UTILITIES","2019",8862
"HUNTSVILLE UTILITIES","2020",8317
"HUNTSVILLE UTILITIES","2021",8480
"HUNTSVILLE UTILITIES","2022",8154
"HURON REAL ESTATE ASSOCIATES LLC","2015",38587
