"","PARENT COMPANY","year","GHG"
"17215","HOOD COS INC","2019",263079
"17216","HOOD COS INC","2020",274236
"17217","HOOD COS INC","2021",346254
"17218","HOOD COS INC","2022",293003
"17219","HOOSIER ENERGY REC INC","2011",136393.5
"17220","HOOSIER ENERGY REC INC","2012",213833
"17221","HOOSIER ENERGY REC INC","2013",106584
"17222","HOOSIER ENERGY REC INC","2014",6988218
"17223","HOOSIER ENERGY REC INC","2015",5333136.5
"17224","HOOSIER ENERGY REC INC","2016",6394237.5
"17225","HOOSIER ENERGY REC INC","2017",5060833.5
"17226","HOOSIER ENERGY REC INC","2018",6029514
"17227","HOOSIER ENERGY REC INC","2019",4955681.5
"17228","HOOSIER ENERGY REC INC","2020",3282924
"17229","HOOSIER ENERGY REC INC","2021",5948204
"17230","HOOSIER ENERGY REC INC","2022",483755.5
"17231","HOPKINSVILLE ELEVATOR CO","2011",55675
"17232","HOPKINSVILLE ELEVATOR CO","2012",49191
"17233","HOPKINSVILLE ELEVATOR CO","2013",53378
"17234","HOPKINSVILLE ELEVATOR CO","2014",51158
"17235","HOPKINSVILLE ELEVATOR CO","2015",52288
"17236","HOPKINSVILLE ELEVATOR CO","2016",49042
"17237","HOPKINSVILLE ELEVATOR CO","2017",50467
"17238","HOPKINSVILLE ELEVATOR CO","2018",53797
"17239","HOPKINSVILLE ELEVATOR CO","2019",62903
"17240","HOPKINSVILLE ELEVATOR CO","2020",63620
"17241","HOPKINSVILLE ELEVATOR CO","2021",67182
"17242","HOPKINSVILLE ELEVATOR CO","2022",68300
"17243","HORMEL FOODS CORP","2011",74951
"17244","HORMEL FOODS CORP","2012",77985
"17245","HORMEL FOODS CORP","2013",80218
"17246","HORMEL FOODS CORP","2014",80315
"17247","HORMEL FOODS CORP","2015",79110
"17248","HORMEL FOODS CORP","2016",79725
"17249","HORMEL FOODS CORP","2017",77102
"17250","HORMEL FOODS CORP","2018",50575
"17251","HORMEL FOODS CORP","2019",61277
"17252","HORMEL FOODS CORP","2020",58895
"17253","HORMEL FOODS CORP","2021",65121
"17254","HORMEL FOODS CORP","2022",60619
"17255","HORRY COUNTY SOLID WASTE AUTHORITY","2015",71476
"17256","HORRY COUNTY SOLID WASTE AUTHORITY","2016",148473
"17257","HORRY COUNTY SOLID WASTE AUTHORITY","2017",151840
"17258","HORRY COUNTY SOLID WASTE AUTHORITY","2018",166317
"17259","HORSEHEAD HOLDING CORP","2011",1243331
"17260","HORSEHEAD HOLDING CORP","2012",819002
"17261","HORSEHEAD HOLDING CORP","2013",794686
"17262","HORSEHEAD HOLDING CORP","2014",571920
"17263","HORSEHEAD HOLDING CORP","2015",555209
"17264","HORSEHEAD HOLDING CORP","2016",540152
"17265","HORSEHEAD HOLDING CORP","2017",515251
"17266","HOUSEHOLD HAZARDOUS MATERIALS","2019",25686
"17267","HOUSEHOLD HAZARDOUS MATERIALS","2020",49295
"17268","HOUSEHOLD HAZARDOUS MATERIALS","2021",45764
"17269","HOUSEHOLD HAZARDOUS MATERIALS","2022",14317
"17270","HOUSTON COUNTY BOARD OF COMMISSIONERS","2015",50124
"17271","HOUSTON COUNTY BOARD OF COMMISSIONERS","2016",45913
"17272","HOUSTON COUNTY BOARD OF COMMISSIONERS","2017",46768
"17273","HOUSTON COUNTY BOARD OF COMMISSIONERS","2018",46348
"17274","HOUSTON COUNTY BOARD OF COMMISSIONERS","2019",58121
"17275","HOUSTON COUNTY BOARD OF COMMISSIONERS","2020",45096
"17276","HOUSTON COUNTY BOARD OF COMMISSIONERS","2021",59826
"17277","HOUSTON COUNTY BOARD OF COMMISSIONERS","2022",69973
"17278","HOUSTON LBC LP","2020",36595
"17279","HOUSTON LBC LP","2021",22688
"17280","HOUSTON LBC LP","2022",18865
"17281","HOUWELING CALIFORNIA HOLDINGS INC","2015",39559
"17282","HOUWELING CALIFORNIA HOLDINGS INC","2016",40335
"17283","HOUWELING CALIFORNIA HOLDINGS INC","2017",40781
"17284","HOUWELING CALIFORNIA HOLDINGS INC","2018",35499
"17285","HOUWELING UTAH HOLDINGS INC","2019",36373
"17286","HOUWELING UTAH HOLDINGS INC","2020",42368
"17287","HOVENSA LLC","2010",5250184
"17288","HOVENSA LLC","2011",4450885
"17289","HOVENSA LLC","2012",665795
"17290","HOVENSA LLC","2013",106038
"17291","HOVENSA LLC","2014",101146
"17292","HOVENSA LLC","2015",87934
"17293","HOWARD COUNTY MARYLAND","2015",29709
"17294","HOWARD COUNTY MARYLAND","2016",28554
"17295","HOWARD COUNTY MARYLAND","2017",23331
"17296","HOWARD COUNTY MARYLAND","2018",19373
"17297","HOWARD COUNTY OF MARYLAND (INC)","2019",15696
"17298","HOWARD COUNTY OF MARYLAND (INC)","2020",16106
"17299","HOWARD COUNTY OF MARYLAND (INC)","2021",16060
"17300","HOWARD COUNTY OF MARYLAND (INC)","2022",21115
"17301","HOWARD ENERGY PARTNERS","2016",199549
"17302","HOWARD ENERGY PARTNERS","2017",217948
"17303","HOWARD ENERGY PARTNERS","2018",263991
"17304","HOWARD MIDSTREAM ENERGY PARTNERS LLC","2015",98086
"17305","HOWARD MIDSTREAM ENERGY PARTNERS LLC","2016",107264
"17306","HOWARD MIDSTREAM ENERGY PARTNERS LLC","2017",97321
"17307","HOWARD MIDSTREAM ENERGY PARTNERS LLC","2018",114200
"17308","HOWARD UNIVERSITY (INC)","2020",14094
"17309","HOWARD UNIVERSITY (INC)","2021",15047
"17310","HOWARD UNIVERSITY (INC)","2022",15536
"17311","HOWMET AEROSPACE INC","2020",92708
"17312","HOWMET AEROSPACE INC","2021",111014
"17313","HOWMET AEROSPACE INC","2022",116969
"17314","HP HOOD LLC","2015",54431
"17315","HP HOOD LLC","2016",66445
"17316","HP HOOD LLC","2017",66646
"17317","HP HOOD LLC","2018",72286
"17318","HP HOOD LLC","2019",73458
"17319","HP HOOD LLC","2020",71523
"17320","HP HOOD LLC","2021",75437
"17321","HP HOOD LLC","2022",77165
"17322","HP Hood LLC","2010",25366
"17323","HP Hood LLC","2011",26126
"17324","HP Hood LLC","2012",25994
"17325","HP Hood LLC","2013",28076
"17326","HP Hood LLC","2014",31784
"17327","HRM RESOURCES LLC","2020",76980
"17328","HRM RESOURCES LLC","2021",87612
"17329","HRM Resources III, LLC","2019",84754
"17330","HT POWER ASSOCIATES I LLC","2022",621544.2394
"17331","HT Power Associates I LLC","2021",314359.554537
"17332","HUDSON ENERGY NY LLC","2020",73873.6
"17333","HUDSON ENERGY NY LLC","2021",71028
"17334","HUDSON ENERGY NY LLC","2022",51046
"17335","HUHTAMAKI AMERICAS INC","2019",26123
"17336","HUHTAMAKI AMERICAS INC","2020",19770
"17337","HUHTAMAKI AMERICAS INC","2021",23329
"17338","HUHTAMAKI AMERICAS INC","2022",26759
"17339","HUHTAMAKI NORTH AMERICA INC","2015",24779
"17340","HUHTAMAKI NORTH AMERICA INC","2016",23484
"17341","HUHTAMAKI NORTH AMERICA INC","2017",26855
"17342","HUHTAMAKI NORTH AMERICA INC","2018",24017
"17343","HUMBOLDT UTILITIES","2015",400
"17344","HUMBOLDT UTILITIES","2016",413
"17345","HUMBOLDT UTILITIES","2017",408
"17346","HUMBOLDT UTILITIES","2018",409
"17347","HUMBOLDT WASTE MANAGMENT AUTHORITY","2015",27079
"17348","HUMBOLDT WASTE MANAGMENT AUTHORITY","2016",9608
"17349","HUMBOLDT WASTE MANAGMENT AUTHORITY","2017",8879
"17350","HUMBOLDT WASTE MANAGMENT AUTHORITY","2018",9519
"17351","HUMMEL STATION LLC","2021",2830394
"17352","HUMMEL STATION LLC","2022",2916794
"17353","HUNT CONSOLIDATED INC","2015",1075445
"17354","HUNT CONSOLIDATED INC","2016",1084991
"17355","HUNT CONSOLIDATED INC","2017",1223785
"17356","HUNT CONSOLIDATED INC","2018",1333196
"17357","HUNT CONSOLIDATED, INC","2011",970807
"17358","HUNT CONSOLIDATED, INC","2012",1088381
"17359","HUNT CONSOLIDATED, INC","2013",1167943
"17360","HUNT CONSOLIDATED, INC","2014",1101766
"17361","HUNT CRUDE OIL SUPPLY CO LLC","2019",1573159
"17362","HUNT CRUDE OIL SUPPLY CO LLC","2020",1315110
"17363","HUNT CRUDE OIL SUPPLY CO LLC","2021",1157519
"17364","HUNT CRUDE OIL SUPPLY CO LLC","2022",1167234
"17365","HUNT FOREST PRODUCTS LLC","2021",30821
"17366","HUNT FOREST PRODUCTS LLC","2022",30750
"17367","HUNTER RIDGE ENERGY SERVICES LLC","2015",65390
"17368","HUNTER RIDGE ENERGY SERVICES LLC","2016",62230
"17369","HUNTINGTON ENERGY LLC","2015",23140
"17370","HUNTINGTON INGALLS INDUSTRIES","2011",83110
"17371","HUNTINGTON INGALLS INDUSTRIES","2012",125807
"17372","HUNTINGTON INGALLS INDUSTRIES","2013",96635
"17373","HUNTINGTON INGALLS INDUSTRIES","2014",78425
"17374","HUNTINGTON INGALLS INDUSTRIES","2015",81129
"17375","HUNTINGTON INGALLS INDUSTRIES","2016",94229
"17376","HUNTINGTON INGALLS INDUSTRIES","2017",55417
"17377","HUNTINGTON INGALLS INDUSTRIES","2018",57500
"17378","HUNTINGTON INGALLS INDUSTRIES INC","2019",55380
"17379","HUNTINGTON INGALLS INDUSTRIES INC","2020",58398
"17380","HUNTINGTON INGALLS INDUSTRIES INC","2021",83062
"17381","HUNTINGTON INGALLS INDUSTRIES INC","2022",71824
"17382","HUNTINGTON INGALLS INDUSTRIES, INC.","2010",78582
"17383","HUNTSMAN ADVANCED MATERIALS AMERICAS, LLC","2020",17225
"17384","HUNTSMAN CORP","2015",33262
"17385","HUNTSMAN CORP","2016",130565
"17386","HUNTSMAN CORP","2017",169150.5
"17387","HUNTSMAN CORP","2018",39562
"17388","HUNTSMAN CORP","2019",1352469
"17389","HUNTSMAN CORP","2020",31882
"17390","HUNTSMAN CORP","2021",50009.5
"17391","HUNTSMAN CORP","2022",49122.5
"17392","HUNTSMAN INTERNATIONAL LLC","2018",1220003
"17393","HUNTSMAN PETROCHEMICAL LLC","2015",38833
"17394","HUNTSMAN PETROCHEMICAL LLC","2016",72372
"17395","HUNTSMAN PETROCHEMICAL LLC","2017",31438
"17396","HUNTSMAN PETROCHEMICAL LLC","2018",29918.5
"17397","HUNTSMAN PETROCHEMICAL LLC","2020",51786
"17398","HUNTSMAN PETROCHEMICAL LLC","2021",49710
"17399","HUNTSMAN PETROCHEMICAL LLC","2022",50674
"17400","HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2015",101113
"17401","HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2016",109820
"17402","HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2017",102136
"17403","HUNTSVILLE SOLID WASTE DISPOSAL AUTHORITY","2018",109115
"17404","HUNTSVILLE UTILITIES","2011",10685
"17405","HUNTSVILLE UTILITIES","2014",12952
"17406","HUNTSVILLE UTILITIES","2015",12375
"17407","HUNTSVILLE UTILITIES","2016",9229
"17408","HUNTSVILLE UTILITIES","2017",8976
"17409","HUNTSVILLE UTILITIES","2018",8868
"17410","HUNTSVILLE UTILITIES","2019",8862
"17411","HUNTSVILLE UTILITIES","2020",8317
"17412","HUNTSVILLE UTILITIES","2021",8480
"17413","HUNTSVILLE UTILITIES","2022",8154
"17414","HURON REAL ESTATE ASSOCIATES LLC","2015",38587
"17415","HURON REAL ESTATE ASSOCIATES LLC","2016",37572
"17416","HURON REAL ESTATE ASSOCIATES LLC","2017",39280
"17417","HURON REAL ESTATE ASSOCIATES LLC","2018",34003
"17418","HURON REAL ESTATE ASSOCIATES LLC","2019",31138
"17419","HURON REAL ESTATE ASSOCIATES LLC","2020",31583
"17420","HURON REAL ESTATE ASSOCIATES LLC","2021",28868
"17421","HURON REAL ESTATE ASSOCIATES, LLC","2011",40812
"17422","HURON REAL ESTATE ASSOCIATES, LLC","2012",41570
"17423","HURON REAL ESTATE ASSOCIATES, LLC","2013",39440
"17424","HURON REAL ESTATE ASSOCIATES, LLC","2014",39947
"17425","HUSKER AG LLC","2015",85161
"17426","HUSKER AG LLC","2016",92142
"17427","HUSKER AG LLC","2017",97462
"17428","HUSKER AG LLC","2018",107399
"17429","HUSKER AG LLC","2019",108158
"17430","HUSKER AG LLC","2020",88158
"17431","HUSKER AG LLC","2021",98877
"17432","HUSKER AG LLC","2022",101062
"17433","HUSKER AG, LLC","2011",91394
"17434","HUSKER AG, LLC","2012",86642
"17435","HUSKER AG, LLC","2013",82483
"17436","HUSKER AG, LLC","2014",83981
"17437","HUSKY ENERGY CO","2020",633303
"17438","HUSKY ENERGY INC","2015",689692
"17439","HUSKY ENERGY INC","2016",594666
"17440","HUSKY ENERGY INC","2017",1039867
"17441","HUSKY ENERGY INC","2018",813837
"17442","HUSKY MARKETING & SUPPLY CO","2021",660769.5
"17443","HUSKY MARKETING & SUPPLY CO","2022",378031.5
"17444","HYDE PARK HOLDINGS LLC","2015",89273
"17445","HYDE PARK HOLDINGS LLC","2016",92286.5
"17446","HYDE PARK HOLDINGS LLC","2017",79700
"17447","HYDE PARK HOLDINGS LLC","2018",99853.5
"17448","HYDE PARK HOLDINGS LLC","2019",24842
"17449","HYDRO EXTRUSION USA LLC","2019",181887
"17450","HYDRO EXTRUSION USA LLC","2020",165735
"17451","HYDRO EXTRUSION USA LLC","2021",166485
"17452","HYDRO EXTRUSION USA LLC","2022",165367
"17453","HYUNDAI MOTOR AMERICA","2015",32177
"17454","HYUNDAI MOTOR AMERICA","2016",31278
"17455","HYUNDAI MOTOR AMERICA","2017",27281
"17456","HYUNDAI MOTOR AMERICA","2018",29684
"17457","HYUNDAI MOTOR AMERICA","2019",29652
"17458","HYUNDAI MOTOR AMERICA","2020",26035
"17459","HYUNDAI MOTOR AMERICA","2021",28078
"17460","HYUNDAI MOTOR AMERICA","2022",30669
"17461","HYUNDAI MOTOR MANUFACTURING ALABAMA, LLC","2010",31519
"17462","Habersham County Board of Commissioners","2011",35591
"17463","Habersham County Board of Commissioners","2012",36011
"17464","Habersham County Board of Commissioners","2013",35854
"17465","Habersham County Board of Commissioners","2014",35563
"17466","Haier US Appliance Solutions Inc","2016",27792
"17467","Halcon Resources Corporation","2011",225698
"17468","Halcon Resources Corporation","2012",1186407
"17469","Halcon Resources Corporation","2013",1139704
"17470","Halcon Resources Corporation","2014",1171517
"17471","Hall County, Georgia","2010",83049
"17472","Hall County, Georgia","2011",83005
"17473","Hall County, Georgia","2012",83212
"17474","Hall County, Georgia","2013",74105
"17475","Hall County, Georgia","2014",74076
"17476","Halliburton","2010",79212
"17477","Halliburton Energy Services","2011",88480
"17478","Halliburton Energy Services","2012",77902
"17479","Halliburton Energy Services","2013",69981
"17480","Halliburton Energy Services","2014",75312
"17481","Hamblen County Morristown Solid Waste Authority","2014",2500
"17482","Hamblen County Solid Waste System","2010",95295
"17483","Hancock County Landfill","2010",84658
"17484","Hancock County Landfill","2011",23107
"17485","Hancock County Landfill","2012",22987
"17486","Hancock County Landfill","2013",15873
"17487","Hancock County Landfill","2014",13512
"17488","Hanford L.P.","2010",222948
"17489","Hardin County Fiscal Court","2010",110347
"17490","Hardin County Fiscal Court","2011",127017
"17491","Hardin County Fiscal Court","2012",109675
"17492","Hardin County Fiscal Court","2013",93866
"17493","Hardin County Fiscal Court","2014",135850
"17494","Harford County Government","2010",71684
"17495","Harford County Government","2011",69404
"17496","Harford County Government","2012",66669
"17497","Harford County Government","2013",68810
"17498","Harford County Government","2014",72384
"17499","Harrison Street Social Infrastructure Fund B, LP","2022",70.233
"17500","Harrison Street Social Infrastructure Fund LP","2022",125.049
"17501","Harsco","2010",3910
"17502","Harsco Corp","2011",459
"17503","Harsco Corp","2012",594
"17504","Harsco Corp","2013",552
"17505","Harsco Corp","2014",473
"17506","Harvest Midstream Co","2020",57085
"17507","Hastings Utilities (HU) / City of Hastings Nebraska","2010",536
"17508","Hastings Utilities (HU-WEC1) / City of Hastings Nebraska","2010",619719
"17509","Hastings Utilities - City of Hastings (HU-WEC1)","2011",374878.25
"17510","Hastings Utilities - City of Hastings (HU-WEC1)","2012",365041.5
"17511","Hastings Utilities - City of Hastings (HU-WEC1)","2013",477081.5
"17512","Hastings Utilities - City of Hastings (HU-WEC1)","2014",447010.5
"17513","Hastings Utilities / City of Hastings, NE","2011",495
"17514","Hastings Utilities / City of Hastings, NE","2012",1778
"17515","Hastings Utilities / City of Hastings, NE","2013",615
"17516","Hastings Utilities / City of Hastings, NE","2014",351
"17517","Hat Creek Energy LLC","2010",787.991
"17518","Hatfield Metallurgical Intermediate Holdings, LLC","2020",936316
"17519","Haverhill Chemicals, LLC","2011",39969
"17520","Haverhill Chemicals, LLC","2012",28251
"17521","Haverhill Chemicals, LLC","2013",36442
"17522","Haverhill Chemicals, LLC","2014",35043
"17523","Hawaii Electric Light Company, Inc.","2010",466167
"17524","Hawaii Electric Light Company, Inc.","2011",460257
"17525","Hawaii Electric Light Company, Inc.","2012",409414
"17526","Hawaii Electric Light Company, Inc.","2013",448162
"17527","Hawaii Electric Light Company, Inc.","2014",432877
"17528","Hawaii Independent Energy, LLC","2013",334780
"17529","Hawaii Independent Energy, LLC","2014",560169
"17530","Hawaiian Electric Company, Inc.","2010",3614261
"17531","Hawaiian Electric Company, Inc.","2011",102348
"17532","Hawaiian Electric Company, Inc.","2012",53678
"17533","Hawaiian Electric Company, Inc.","2013",59248
"17534","Hawaiian Electric Company, Inc.","2014",2073
"17535","Hawker Beechcraft Corporation","2010",31626
"17536","Hawkeye Energy Greenport","2010",27731
"17537","Hawkwood Energy Management, LLC 220","2014",27091
"17538","Hayes Landfill, Inc","2010",64661
"17539","Haynes International, Inc.","2010",55875
"17540","Haynesville Gathering LP","2019",53413
"17541","Haywood County, North Carolina","2011",38540
"17542","Haywood County, North Carolina","2012",39733
"17543","Haywood County, North Carolina","2013",40838
"17544","Heartland Consumers Power District","2010",403617.72
"17545","Heartland Corn Products","2010",164171
"17546","Heaven Hill Distilleries Inc","2018",30071
"17547","Heaven Hill Distilleries Inc","2019",29438
"17548","Hecla Greens Creek Mine","2019",51692
"17549","Hecla Greens Creek Mining Company","2011",28611
"17550","Hecla Greens Creek Mining Company","2012",8280
"17551","Hecla Greens Creek Mining Company","2013",26549
"17552","Hecla Greens Creek Mining Company","2014",3865
"17553","Heidelberg Materials US Cement LLC","2022",958718
"17554","Helis Oil & Gas, LLC","2011",35738
"17555","Helis Oil & Gas, LLC","2012",25622
"17556","Helis Oil & Gas, LLC","2013",24840
"17557","Helis Oil & Gas, LLC","2014",30947
"17558","Helis Oil and Gas Company, L.L.C.","2013",25256
"17559","Helis Oil and Gas Company, L.L.C.","2014",39131
"17560","Helis Oil and Gas Company, LLC","2011",65826
"17561","Henderson County","2010",9034
"17562","Henderson County","2011",12687
"17563","Henderson County","2012",8821
"17564","Henderson County","2013",14666
"17565","Henderson Municipal Power and Light","2010",2357185
"17566","Hennepin County Environmental Services","2011",148215
"17567","Hennepin County Environmental Services","2012",127038
"17568","Hennepin County Environmental Services","2013",121312
"17569","Hennepin County Environmental Services","2014",148477
"17570","Henrico County Department of Public Works","2010",39113
"17571","Henrico County Department of Public Works","2011",26223
"17572","Henrico County Department of Public Works","2012",26490
"17573","Henrico County Department of Public Works","2013",17515
"17574","Henrico County Department of Public Works","2014",12948
"17575","Henry County Commissioners","2011",30358
"17576","Henry County Commissioners","2012",30145
"17577","Henry County Commissioners","2013",24839
"17578","Henry County Commissioners","2014",24171
"17579","Henry County, Board of Commissioners","2010",30518
"17580","Henry Resources LLC","2017",27339
"17581","Heorot Power Holdings LLC","2015",615245
"17582","Hercules Cement Holding Company","2010",5903.93
"17583","Heritage - Crystal Clean, LLC","2017",29948
"17584","Heritage Environmental Services, LLC.","2010",1801
"17585","Hermes Consolidated Inc.","2010",120737
"17586","Hernando County, Fl","2010",48119
"17587","Hernando County, Fl","2011",58785
"17588","Hernando County, Fl","2012",76805
"17589","Hernando County, Fl","2013",78867
"17590","Hernando County, Fl","2014",127983
"17591","Heron Lake BioEnergy, LLC","2010",160572
"17592","Hess Corporation","2010",265443.56
"17593","Hess Corporation","2011",1236620
"17594","Hess Corporation","2012",2088842
"17595","Hess Corporation","2013",1828333
"17596","Hess Corporation","2014",2141922
"17597","Hess Corproation","2010",523431
"17598","Hess North Dakota Export Logistics LLC","2014",25425
"17599","Hexcel Corporation","2010",55876
"17600","Hexion Inc","2015",22476
"17601","Hi-Crush Blair LLC","2017",28384
"17602","Hibbing Taconite Company, A Joint Venture","2011",242024
"17603","Hibbing Taconite Company, A Joint Venture","2012",285282
"17604","Hibbing Taconite Company, A Joint Venture","2013",264112
"17605","Hibbing Taconite Company, A Joint Venture","2014",245939
"17606","Hibernia Resources III, LLC","2020",100638
"17607","Hickory Run Energy, LLC","2021",2334994
"17608","Hickory Run Holdings, LLC","2019",5422
"17609","High River Resources LLC","2020",91189
"17610","High Sierra Limited","2010",24385
"17611","HighPoint Resources Corp","2018",285411
"17612","Highlander Oil & Gas Assets LLC","2019",100568.88
"17613","Highlander Oil & Gas Assets LLC","2022",75291.84
"17614","Highpeak Energy Holdings LLC","2022",314773
"17615","Highstar IV GWF Holdings LLC","2012",294258
"17616","Highstar IV GWF Holdings LLC","2013",364726
"17617","Highstar IV SWG Holdings, LLC","2014",418637
"17618","Highstar Linden CIV A, LLC","2013",242421.988104
"17619","Highstar Linden CIV A, LLC","2014",264611.979792
"17620","Highstar Linden Prism/IV-A Interco LLC","2013",333371.969712
"17621","Highstar Linden Prism/IV-A Interco LLC","2014",363887.028576
"17622","Highwater Ethanol, LLC","2010",76230
"17623","Hiland Partners LP","2011",63989
"17624","Hiland Partners LP","2012",154259
"17625","Hiland Partners LP","2013",205062
"17626","Hiland Partners LP","2014",218044
"17627","Hilcorp Alaska LLC","2014",947085.5456
"17628","Hilcorp Alaska, LLC","2011",278348.762
"17629","Hilcorp Alaska, LLC","2012",373819.94
"17630","Hilcorp Alaska, LLC","2013",702545
"17631","Hilcorp Alaska, LLC","2014",616913
"17632","Hilcorp North Slope, LLC","2020",50371.5024
"17633","Hill Top MM RH, LP","2021",122114.890926
"17634","Hill-Lake Gas Storage, LLC","2010",30642
"17635","Hillsborough County","2010",98811
"17636","Hillsborough County","2011",98722
"17637","Hillsborough County","2012",100272
"17638","Hillsborough County","2013",85802
"17639","Hillsborough County","2014",76413
"17640","Hillsborough County Board of County Commissioners","2010",7208
"17641","Hillsborough County Board of County Commissioners","2011",6467
"17642","Hillsborough County Board of County Commissioners","2012",4774
"17643","Hillsborough County Board of County Commissioners","2013",4723
"17644","Hillsborough County Public Utilities Department","2011",199359
"17645","Hillsborough County Public Utilities Department","2012",207228
"17646","Hillsborough County Public Utilities Department","2013",202296
"17647","Hillsborough County Public Utilities Department","2014",202874
"17648","Hilmar Cheese Company","2010",68973
"17649","Hilmar Cheese Company","2011",70031
"17650","Hilmar Cheese Company","2012",67426
"17651","Hilmar Cheese Company","2013",61970
"17652","Hilmar Cheese Company","2014",66565
"17653","Hitachi Metals America","2010",27551
"17654","Hitachi Metals America Holdings Inc","2015",433513
"17655","Hitachi Metals America Holdings, Inc","2015",211388
"17656","Hoeganaes Corporation","2010",58765
"17657","Hoeganaes Corporation","2011",54130
"17658","Hoeganaes Corporation","2012",61340
"17659","Hoeganaes Corporation","2013",66158
"17660","Hoeganaes Corporation","2014",66125
"17661","Holcim (US)","2010",528558
"17662","Holcim (US) INC","2010",415264
"17663","Holcim (US) Inc","2010",916794
"17664","Holcim (US) Inc","2011",967725
"17665","Holcim (US) Inc","2012",1164123
"17666","Holcim (US) Inc","2013",1135169
"17667","Holcim (US) Inc","2014",1330218
"17668","Holcim (US) Inc","2018",443286
"17669","Holcim (US) Inc.","2010",3508717
"17670","Holcim (US) Inc.","2011",4869165
"17671","Holcim (US) Inc.","2012",5407171
"17672","Holcim (US) Inc.","2013",5406990
"17673","Holcim (US) Inc.","2014",6288011
"17674","Holcim (US) Inc. - Corporate Office","2010",731697
"17675","Holcim (US), Inc.","2010",728309
"17676","Holcim (US), Inc.","2011",1190035
"17677","Holcim (US), Inc.","2012",1326253
"17678","Holcim (US), Inc.","2013",1185728
"17679","Holcim (US), Inc.","2014",1318744
"17680","Holcim(US) Inc.","2011",470862
"17681","Holcim(US) Inc.","2012",449555
"17682","Holcim(US) Inc.","2013",411884
"17683","Holcim(US) Inc.","2014",527482
"17684","Holland Board of Public Works","2010",348591
"17685","Holland Board of Public Works","2011",306278
"17686","Holland Board of Public Works","2012",108861
"17687","Holland Board of Public Works","2013",97697
"17688","Holland Board of Public Works","2014",92369
"17689","Hollingsworth & Vose","2010",38458
"17690","HollyFrontier Corporation","2010",2469943
"17691","HollyFrontier Corporation","2011",613368
"17692","HollyFrontier Corporation","2012",562610
"17693","HollyFrontier Corporation","2013",446693
"17694","HollyFrontier Corporation","2014",601741
"17695","HollyFrontier Puget Sound Refining LLC","2021",1837958
"17696","Holmes Western Oil Corp","2014",28619
"17697","Holy Cross Electric Association, Inc.","2010",274419.391175
"17698","Home Grown Fuels","2013",3896.5394
"17699","Home Grown Fuels","2014",3897.1364
"17700","Homeland Energy Solutions, LLC","2010",194927
"17701","Honeywell International","2010",44297
"17702","Honeywell International Incorporated","2010",70797
"17703","Honeywell International, Inc.","2010",5116738
"17704","Honeywell-UOP","2019",27084
"17705","Honeywell-UOP","2020",22888
"17706","Hood Companies, Inc.","2012",139386
"17707","Hood Companies, Inc.","2013",170891
"17708","Hood Companies, Inc.","2014",132638
"17709","Hood Container of Louisiana, LLC","2015",121852
"17710","Hoosier Energy","2010",148641
"17711","Hoosier Energy REC, Inc.","2010",7807079
"17712","Hoosier Energy REC, Inc.","2011",7749361
"17713","Hoosier Energy REC, Inc.","2012",6106932
"17714","Hoosier Energy REC, Inc.","2013",6515972
"17715","Hoover Energy Partners LP","2010",114594
"17716","Hoover Energy Partners LP","2011",185464
"17717","Hoover Energy Partners LP","2012",209879
"17718","Hoover Energy Partners LP","2013",167363
"17719","Hopkinsville Elevator Company","2010",55290
"17720","Horizon Ethanol dba Poet Biorefining-Jewell","2010",87034
"17721","Horizon Ethanol, LLC dba POET Biorefining - Jewell","2012",87204
"17722","Horizon Ethanol, LLC dba POET Biorefining - Jewell","2013",91559
"17723","Horizon Ethanol, LLC dba POET Biorefining - Jewell","2014",103814
"17724","Hormel Foods Corporation","2010",71153
"17725","Horry County Solid Waste Authority","2010",78703
"17726","Horry County Solid Waste Authority","2011",98666
"17727","Horry County Solid Waste Authority","2012",107383
"17728","Horry County Solid Waste Authority","2013",71313
"17729","Horry County Solid Waste Authority","2014",99991
"17730","Horsehead Corporation","2011",60866
"17731","Horsehead Corporation","2012",61470
"17732","Horsehead Corporation","2013",60855
"17733","Horsehead Corporation","2014",62880
"17734","Horsehead Holding Corp.","2010",1356153
"17735","Horsehead corporation","2010",61292
"17736","Houston County Board of Commissioners","2010",58103
"17737","Houston County Board of Commissioners","2011",33530
"17738","Houston County Board of Commissioners","2012",49642
"17739","Houston County Board of Commissioners","2013",60722
"17740","Houston County Board of Commissioners","2014",55727
"17741","Houweling California Holdings, INC","2014",35503
"17742","Houweling Nurseries Oxnard, Inc.","2013",29378
"17743","Howard County","2010",26501
"17744","Howard County, Maryland","2010",28220
"17745","Howard County, Maryland","2011",26095
"17746","Howard County, Maryland","2012",36548
"17747","Howard County, Maryland","2013",32301
"17748","Howard County, Maryland","2014",31275
"17749","Howard Energy Partners","2015",140574
"17750","Howard Energy Partners LLC","2022",84093
"17751","Howard University","2018",25238
"17752","Howard University","2019",18886
"17753","Howmet Aerospace Inc","2020",28414
"17754","Huber Equity Corporation","2011",83583
"17755","Huber Equity Corporation","2012",88332
"17756","Huber Equity Corporation","2013",94252
"17757","Huber Equity Corporation","2014",100734
