"PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"BASF CORP (100%)",2015,66787
"BASF CORP (100%)",2015,71654
"BASF CORP (100%)",2015,152883
"BASF CORP (100%)",2015,688789
"BASF CORP (100%)",2015,1722784
"BAXTER HEALTHCARE OF PUERTO RICO (100%)",2015,5116
"BAYER GROUP (100%)",2015,34978
"BIOGEN IDEC INC (100%)",2015,32786
"COLUMBIAN CHEMICALS CO (100%)",2015,103470
"PHILLIPS 66 (100%)",2015,493402
"BP AMERICA INC (100%)",2015,665019
"BRISTOL-MYERS SQUIBB CO (100%)",2015,59149
"MONSANTO CO (100%)",2015,92320
"MONSANTO CO (100%)",2015,79855
"BAYER GROUP (100%)",2015,235974
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2015,1680172
"ORION ENGINEERED CARBONS LLC (100%)",2015,192778
"SID RICHARDSON CARBON & ENERGY CO (100%)",2015,332121
"ORION ENGINEERED CARBONS LLC (100%)",2015,212332
"SID RICHARDSON CARBON & ENERGY CO (100%)",2015,297142
"TRONOX LTD (100%)",2015,26758
"BRISTOL-MYERS SQUIBB CO (100%)",2015,26170
"CABOT CORP (100%)",2015,333323
"CABOT CORP (100%)",2015,244321
"CABOT CORP (100%)",2015,5710
"CABOT CORP (100%)",2015,99343
"CABOT CORP (100%)",2015,347211
"CALGON CARBON CORP (100%)",2015,48329
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2015,23901
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2015,21325
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2015,58072
"CARESTREAM HEALTH INC (100%)",2015,30998
"CARUS GROUP INC (100%)",2015,22108
"CF INDUSTRIES HOLDINGS INC (100%)",2015,7985546
"CF INDUSTRIES HOLDINGS INC (100%)",2015,2348322
"CF INDUSTRIES HOLDINGS INC (100%)",2015,1230731
"LYONDELLBASSELL (100%)",2015,2144938
"The Chemours Co FC, LLC (100%)",2015,642147
"THE CHEMOURS CO FC LLC (100%)",2015,645559
"THE CHEMOURS CO FC LLC (100%)",2015,808264
"CHEMOURS CO FC LLC (100%)",2015,69892
"THE CHEMOURS CO FC LLC (100%)",2015,4288252
"THE CHEMOURS CO FC LLC (100%)",2015,919803
"LSB INDUSTRIES INC (100%)",2015,441461
"MERCK & CO INC (100%)",2015,22032
"CHEVRON CORP (100%)",2015,1463560
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2015,6654
"CHEVRON CORP (50%); PHILLIPS 66 (50%)",2015,816901
"CHEVRON CORP (100%)",2015,1521122
"CHEVRON CORP (100%)",2015,564113
"CHS INC (100%)",2015,226533
"CHS INC (100%)",2015,242628
"Celanese CORP (100%)",2015,550640
"CIP II/AR BRIDGEWATER HOLDINGS LLC (100%)",2015,30838
"CVR ENERGY INC (100%)",2015,1798429
"COLUMBIAN CHEMICALS CO (100%)",2015,248079
"CONTINENTAL CARBON CO (100%)",2015,178855
"CONTINENTAL CARBON CO (100%)",2015,212986
"CONTINENTAL CARBON CO (100%)",2015,116562
"Covestro LLC (100%)",2015,24088
"THE CHEMOURS CO FC LLC (100%)",2015,27843
"CSL BEHRING LLC (100%)",2015,43980
"CYTEC INDUSTRIES INC (100%)",2015,36086
"CALUMET SPECIALTY PRODUCTS PARTNERS (100%)",2015,17928
"THE CHEMOURS CO FC LLC (100%)",2015,18722
"THE CHEMOURS CO (100%)",2015,122119
"THE CHEMOURS CO FC, LLC (100%)",2015,85168
"THE CHEMOURS CO FC LLC (100%)",2015,382193
"CHEMTRADE LOGISTICS (100%)",2015,31439
"CHEVRON CORP (100%)",2015,137397
"CHEVRON CORP (93.1%); CHEVRON CORP (6.9%)",2015,847007
"CHEVRON PHILLIPS CHEMICAL CO (100%)",2015,1058293
"DYNO NOBEL INC (100%)",2015,499921
"CLARIANT CORP (100%)",2015,19980
"BASF CORP (100%)",2015,33885
"COMPASS MINERALS (100%)",2015,92207
"HIG BBC HOLDINGS CORP (100%)",2015,332872
"DOW CHEMICAL (100%)",2015,55891
"DOW CHEMICAL (100%)",2015,40918
"SABIC INNOVATIVE PLASTICS HOLDING US LP (50%); TOTAL HOLDINGS USA INC (50%)",2015,385832
"DAIKIN AMERICA INC (100%)",2015,303321
"CORNING INC (50%); DOW CHEMICAL (50%)",2015,137113
"DOW CHEMICAL (100%)",2015,3405484
"DSM HOLDING CO INC (100%)",2015,411655
"DSM HOLDING CO INC (100%)",2015,57486
"E I DU PONT DE NEMOURS & CO (100%)",2015,89071
"DYNO NOBEL INC (100%)",2015,15586
"DYNO NOBEL INC (100%)",2015,556081
"PBF ENERGY CO LLC (100%)",2015,350847
"DELTECH CORP (100%)",2015,101544
"VALERO ENERGY CORP (100%)",2015,289422
"GLENCOE CAPITAL (100%)",2015,47127
"CORNING INC (50%); DOW CHEMICAL (50%)",2015,84881
"FMC CORP (100%)",2015,31446
"DYNO NOBEL INC (100%)",2015,169106
"E I DU PONT DE NEMOURS & CO (100%)",2015,5287
"BRISTOL-MYERS SQUIBB CO (100%)",2015,36682
"ECO SERVICES OPERATIONS LLC (100%)",2015,33988
"LSB INDUSTRIES INC (100%)",2015,486460
"LSB INDUSTRIES INC (100%)",2015,181486
"ELEMENTIS WORLDWIDE (100%)",2015,145040
"EMERALD PERFORMANCE MATERIALS LLC (100%)",2015,87579
"LYONDELL CHEMICAL CO (100%)",2015,1141319
"LYONDELLBASSELL (100%)",2015,79699
"LYONDELLBASSELL (100%)",2015,436059
"LYONDELL CHEMICAL CO (100%)",2015,403911
"LYONDELLBASSELL (100%)",2015,1214030
"ERACHEM COMILOG INC (100%)",2015,44448
"ERGON INC (100%)",2015,51059
"ERGON INC (100%)",2015,17573
"EVONIK INDUSTRIES (100%)",2015,39455
"EVONIK INDUSTRIES (100%)",2015,32730
"JM HUBER CORP (100%)",2015,47448
"EVONIK INDUSTRIES (100%)",2015,77750
"EVONIK INDUSTRIES (100%)",2015,27964
"EVONIK INDUSTRIES (100%)",2015,165106
"EVONIK INDUSTRIES (100%)",2015,69276
"EXXON MOBIL CORP (100%)",2015,37173
"EXXON MOBIL CORP (100%)",2015,33960
"AXIALL CORP (100%)",2015,938203
"AXIALL CORP (83%); RS COGEN (17%)",2015,1208146
"RENTECH INC (59.7%); RENTECH INC (40.3%)",2015,697449
"EASTMAN CHEMICAL CO (100%)",2015,1187461
"EASTMAN CHEMICAL CO (100%)",2015,4504317
"EASTMAN CHEMICAL CO (100%)",2015,46778
"ECO SERVICES OPERATIONS LLC (100%)",2015,50936
"PQ HOLDINGS INC (100%)",2015,16804
"ELI LILLY & CO (100%)",2015,134250
"EMERY OLEOCHEMICALS LLC (100%)",2015,200389
"EXXON MOBIL CORP (100%)",2015,115568
"EXXON MOBIL CORP (100%)",2015,41774
"The Chemours CO (100%)",2015,266712
"FORMOSA PLASTICS CORP USA (100%)",2015,344582
"FORMOSA PLASTICS CORP USA (100%)",2015,3900765
"FRESENIUS MEDICAL CARE (100%)",2015,59236
"KOCH INDUSTRIES INC (100%)",2015,110100
"KOCH INDUSTRIES INC (100%)",2015,1182444
"FUJIFILM HOLDINGS AMERICA CORP (100%)",2015,29534
"FUTUREFUEL CORP (100%)",2015,175698
"GENENTECH INC (100%)",2015,31614
"GENEVA NITROGEN LLC (100%)",2015,57980
"GLAXOSMITHKLINE (100%)",2015,24695
"THE GOODYEAR TIRE & RUBBER CO (100%)",2015,42543
"WR GRACE & CO (100%)",2015,103241
"WR GRACE & CO (100%)",2015,131988
"INEOS USA LLC (100%)",2015,214146
"GREEN VALLEY CHEMICAL CORP (100%)",2015,25605
"GLAXOSMITHKLINE (100%)",2015,6785
"GLAXOSMITHKLINE (100%)",2015,14382
"BASIN ELECTRIC POWER COOPERATIVE (100%)",2015,2882905
"HEXION LLC (100%)",2015,61408
"HOLLYFRONTIER CORP (100%)",2015,500391
"HONEYWELL INTERNATIONAL INC (100%)",2015,40139
"HONEYWELL INTERNATIONAL INC (100%)",2015,16340
"HONEYWELL INTERNATIONAL INC (100%)",2015,165206
"HONEYWELL INTERNATIONAL INC (100%)",2015,668796
"HUNT CONSOLIDATED INC (100%)",2015,188567
"Huntsman Petrochemical LLC (100%)",2015,59428
"HOLLYFRONTIER CORP (100%)",2015,53087
"ICL-PPLP (ICL PERFORMANCE PRODUCTS LP) (100%)",2015,50540
"CHEVRON CORP (100%)",2015,5839
"INTERNATIONAL FLAVORS & FRAGRANCES INC (100%)",2015,38581
"OCCIDENTAL PETROLEUM CORP (100%)",2015,111868
"Ineos Americas, LLC (100%)",2015,63927
"INEOS USA LLC (100%)",2015,2306957
"INEOS USA LLC (100%)",2015,116903
"STYROLUTION AMERICA LLC (100%)",2015,373600
"STYROLUTION AMERICA LLC (100%)",2015,79060
"CRISTAL USA INC (100%)",2015,141553
"CRISTAL USA INC (100%)",2015,314864
"BP AMERICA INC (100%)",2015,159031
"BP AMERICA INC (100%)",2015,102055
"WestRock CO (100%)",2015,25309
"WestRock Co (100%)",2015,59104
"WESTROCK CORP (100%)",2015,72968
"KOCH INDUSTRIES INC (100%)",2015,2006224
"KOCH INDUSTRIES INC (100%)",2015,603804
"KOCH INDUSTRIES INC (100%)",2015,943293
"ASHLAND INC (100%)",2015,71157
"ASHLAND INC (100%)",2015,121165
"ASHLAND INC (100%)",2015,31037
"Huntsman International LLC (100%)",2015,1162427
"HUNTSMAN PETROCHEMICAL LLC (100%)",2015,38833
"BP AMERICA INC (100%)",2015,249321
"AGRIUM US INC (100%)",2015,115062
"JR SIMPLOT CO (100%)",2015,18703
"JR SIMPLOT CO (100%)",2015,127702
"JX NIPPON CHEMICAL TEXAS INC (100%)",2015,54346
"KMCO LLC (100%)",2015,36836
"KMCO LLC (100%)",2015,32130
"KOCH INDUSTRIES INC (100%)",2015,1547770
"KOCH INDUSTRIES INC (100%)",2015,471435
"KOCH INDUSTRIES INC (100%)",2015,506418
"ARIZONA CHEMICAL CO LLC (100%)",2015,72878
"ARIZONA CHEMICAL CO LLC (100%)",2015,30551
"BASF CORP (100%)",2015,50835
"KOCH INDUSTRIES INC (100%)",2015,764138
"KOPPERS INC (100%)",2015,34319
"KOPPERS INC (100%)",2015,43572
"LANXESS CORP (100%)",2015,142711
"CHEMTURA CORP (100%)",2015,38501
"CHEMTURA CORP (100%)",2015,40332
"CHEMTURA CORP (100%)",2015,25322
"LYONDELLBASSELL (100%)",2015,74218
"ELI LILLY & CO (100%)",2015,22934
"PRAXAIR INC  (100%)",2015,171270
"PRAXAIR INC  (100%)",2015,1539643
"LINDE GAS NORTH AMERICA LLC (100%)",2015,601477
"LINDE GAS NORTH AMERICA LLC (100%)",2015,476352
"PRAXAIR INC  (100%)",2015,41690
"PRAXAIR INC  (100%)",2015,424830
"DELEK US HOLDINGS INC (100%)",2015,38154
"Huntsman P&A Investments LLC (50%); KRONOS LOUISIANA INC (50%)",2015,258931
"BERKSHIRE HATHAWAY INC (100%)",2015,30835
"BERKSHIRE HATHAWAY INC (100%)",2015,31106
"BERKSHIRE HATHAWAY INC (100%)",2015,109183
"LUCITE INTERNATIONAL INC (100%)",2015,61792
"LYONDELLBASSELL (100%)",2015,408367
"LINDE GAS NORTH AMERICA LLC (50%); LYONDELLBASSELL (50%)",2015,2679
"LINDE GAS NORTH AMERICA LLC (100%)",2015,1147307
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2015,691029
"PDV HOLDING INC (100%)",2015,45733
"PRAXAIR INC (100%)",2015,88554
"LINDE GAS NORTH AMERICA LLC (100%)",2015,81023
"PRAXAIR INC (100%)",2015,1033957
"PRAXAIR INC (100%)",2015,721380
"LINDE GAS NORTH AMERICA LLC (100%)",2015,160895
"PRAXAIR INC (100%)",2015,563013
"Praxair Inc (100%)",2015,25300
"PRAXAIR INC (100%)",2015,474023
"PRAXAIR INC  (100%)",2015,1402080
"PRAXAIR INC (100%)",2015,733597
"PRAXAIR INC (100%)",2015,25651
"TESORO CORP (100%)",2015,860938
"MALLINCKRODT INC (100%)",2015,32646
"MARTIN MIDSTREAM PARTNERS LP (100%)",2015,15639
"SHELL OIL CO (100%)",2015,798885
"MERCK & CO INC (100%)",2015,48644
"MERCK & CO INC (100%)",2015,72590
"LINDE GAS NA LLC (100%)",2015,915
"MEXICHEM FLUOR INC  (100%)",2015,58577
"MONUMENT CHEMICAL (100%)",2015,58718
"MORTON SALT INC (100%)",2015,159402
"MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC (100%)",2015,33398
"WESTERN REFINING INC (100%)",2015,35318
"CALUMET SPECIALTY PRODUCTS PARTNERS (50%); MDU RESOURCES GROUP INC (50%)",2015,8831
"LINDE GAS NORTH AMERICA LLC (100%)",2015,59516
"LINDE GAS NORTH AMERICA LLC (100%)",2015,361942
"LINDE GAS NORTH AMERICA LLC (100%)",2015,93752
"LINDE GAS NORTH AMERICA LLC (100%)",2015,174812
"LINDE GAS NORTH AMERICA LLC (100%)",2015,54011
"MERCK & CO INC (100%)",2015,277728
"Methanex Fortier, Inc (100%)",2015,405081
"MONUMENT CHEMICAL (100%)",2015,52685
"THE MOSAIC CO (100%)",2015,167184
"THE MOSAIC CO (100%)",2015,33204
"THE MOSAIC CO (100%)",2015,124276
"THE MOSAIC CO (100%)",2015,34802
"THE MOSAIC CO (100%)",2015,269978
"THE MOSAIC CO (100%)",2015,130929
"THE MOSAIC CO (100%)",2015,99084
"KOCH INDUSTRIES INC (100%)",2015,837959
"HOLLYFRONTIER CORP (100%)",2015,154753
"AKZO NOBEL CHEMICALS INC (100%)",2015,52580
"THE WILLIAMS COS (88.46%); SABIC INNOVATIVE PLASTICS HOLDING US LP (11.54%)",2015,742556
"NOVARTIS US (100%)",2015,21921
"NATURAL SODA (100%)",2015,50797
"NA INDUSTRIES INC (100%)",2015,1711
"MOTIVA ENTERPRISES LLC (50%); SHELL OIL CO (50%)",2015,14849
"ABBVIE INC  (100%)",2015,74158
"Akzo Nobel Pulp & Performance Chemicals Inc (100%)",2015,38590
"OCCIDENTAL PETROLEUM CORP (100%)",2015,76660
"OCCIDENTAL PETROLEUM CORP (100%)",2015,139625
"OCCIDENTAL PETROLEUM CORP (100%)",2015,43933
"OCCIDENTAL PETROLEUM CORP (100%)",2015,1482591
"OCCIDENTAL PETROLEUM CORP (100%)",2015,16185
"OCI USA INC (100%)",2015,731074
"ONEOK PARTNERS LP (100%)",2015,6927
"OCCIDENTAL PETROLEUM CORP (100%)",2015,99628
"OCCIDENTAL PETROLEUM CORP (100%)",2015,1269462
"OCCIDENTAL PETROLEUM CORP (100%)",2015,99189
"OLIN CORP (100%)",2015,1909031
"OLIN CORP (100%)",2015,26452
"OLIN CORP (100%)",2015,31702
"OLIN CORP (100%)",2015,36460
"ORION ENGINEERED CARBONS LLC (100%)",2015,200487
"ORION ENGINEERED CARBONS LLC (100%)",2015,271978
"MONSANTO CO (100%)",2015,550033
"CABOT CORP (100%)",2015,128949
"PCS NITROGEN FERTILIZER LP (100%)",2015,1452448
"POTASH HOLDING CO INC (100%)",2015,2014344
"PCS NITROGEN FERTILIZER LP (100%)",2015,1174649
"POTASH CORP OF SASKATCHEWAN USA (100%)",2015,478126
"ASRC (100%)",2015,4854
"PFIZER INC (100%)",2015,123990
"PHILLIPS 66 (100%)",2015,292436
"PMC GROUP (100%)",2015,91657
"POET LLC (50%)",2015,99848
"PPG INDUSTRIES INC (100%)",2015,119883
"PQ HOLDINGS INC (100%)",2015,25476
"PQ HOLDINGS INC (100%)",2015,19484
"PQ HOLDINGS INC (100%)",2015,19048
"PQ HOLDINGS INC (100%)",2015,13226
"PQ HOLDINGS INC (100%)",2015,17591
"PRAXAIR INC  (100%)",2015,41925
"LSB INDUSTRIES INC (100%)",2015,281294
"ENTERPRISE PRODUCTS PARTNERS LP (100%)",2015,42585
"GREENVILLE SERVICE CO INC (100%)",2015,38598
"PBF ENERGY CO LLC (100%)",2015,9777
"PFIZER INC (100%)",2015,127233
"PFIZER INC (100%)",2015,47849
"PHILLIPS 66 (100%)",2015,146427
"PHILLIPS 66 (100%)",2015,287657
"PHILLIPS 66 (100%)",2015,480499
"PHILLIPS 66 (100%)",2015,175844
"THE PROCTER & GAMBLE CO (81.3%); DTE ENERGY CO (18.7%)",2015,183871
"PROCTER & GAMBLE (100%)",2015,24326
"G2X ENERGY (100%)",2015,45121
"HAWAII INDEPENDENT ENERGY LLC (100%)",2015,102637
"RENEWABLE ENERGY GROUP INC  (100%)",2015,28848
"DOW CHEMICAL (100%)",2015,378556
"CHEMTURA CORP (50%); HUNTSMAN CORP (50%)",2015,66524
"ROUSSELOT INC  (100%)",2015,39143
"E I DU PONT DE NEMOURS & CO (100%)",2015,1086284
"PHILLIPS 66 (100%)",2015,129573
"SAN JOAQUIN REFINING CO INC (100%)",2015,24163
"SANOFI US (100%)",2015,33879
"SAVANNAH RIVER NUCLEAR SOLUTIONS LLC (100%)",2015,17585
"SC JOHNSON & SON INC (100%)",2015,27642
"SHELL OIL CO (100%)",2015,933213
"SHELL OIL CO (50%); DEER PARK REFINING LP (49.995%)",2015,36453
"C-K TECH INC (100%)",2015,522466
"SI GROUP INC (100%)",2015,84690
"SI GROUP INC (100%)",2015,74463
"JR SIMPLOT CO (100%)",2015,65658
"THE SINCLAIR COS (100%)",2015,288539
"SNF HOLDING CO (100%)",2015,53921
"SOLUTIA INC (100%)",2015,26603
"SOLVAY CHEMICALS INC  (100%)",2015,44254
"TRECORA RESOURCES (100%)",2015,74431
"STEPAN CO (100%)",2015,31571
"SUNCOR ENERGY (USA) INC (100%)",2015,116230
"SYNGENTA CORP (100%)",2015,56508
"SASOL USA CORP (100%)",2015,66473
"SASOL USA CORP (100%)",2015,781522
"AIR PRODUCTS & CHEMICALS INC (100%)",2015,17762
"SHELL OIL CO (100%)",2015,43407
"SOLVAY SPECIALTY POLYMERS USA LLC (100%)",2015,27839
"DOW CHEMICAL (100%)",2015,2868338
"NORTHERN TIER ENERGY LLC (100%)",2015,106298
"PINOVA HOLDINGS INC  (100%)",2015,24150
"PINOVA HOLDINGS INC  (100%)",2015,29802
"TAMINCO US INC (100%)",2015,52016
"Taminco US LLC (100%)",2015,72106
"TATE & LYLE INGREDIENTS AMERICAS LLC (100%)",2015,30845
"CF INDUSTRIES HOLDINGS INC (100%)",2015,1020813
"TESORO CORP (100%)",2015,104148
"TESORO CORP (100%)",2015,519415
"TETRA TECHNOLOGIES INC (100%)",2015,41063
"JW CHILDS LP (100%)",2015,6896
"EXXON MOBIL CORP (100%)",2015,616908
"TPC GROUP LLC (100%)",2015,104645
"TPC GROUP LLC (100%)",2015,644147
"TRADEMARK NITROGEN CORP (100%)",2015,22572
"TRONOX LTD (100%)",2015,329348
"THE MOSAIC CO (100%)",2015,1084995
"TATE & LYLE INGREDIENTS AMERICAS LLC (100%)",2015,65937
"DOW CHEMICAL (100%)",2015,56163
"DOW CHEMICAL (100%)",2015,2448914
"AGRIUM US INC (100%)",2015,22185
NA,2015,13717
"DOW CHEMICAL (100%)",2015,781610
"DOW CHEMICAL (100%)",2015,87475
"DOW CHEMICAL (100%)",2015,14073
"HONEYWELL INTERNATIONAL INC (100%)",2015,35637
"VALERO ENERGY CORP (100%)",2015,416470
"VALERO ENERGY CORP (100%)",2015,500999
"VALERO ENERGY CORP (100%)",2015,919116
"VALERO ENERGY CORP (100%)",2015,152434
"VALERO ENERGY CORP (100%)",2015,227564
"VANTAGE SPECIALTY CHEMICALS INC (100%)",2015,42934
"TERRA NITROGEN CO, LP (100%)",2015,3553158
"VVF INTERVEST LLC (100%)",2015,42398
"VALERO ENERGY CORP (100%)",2015,519260
"THE CHEMOURS CO FC LLC (100%)",2015,42048
"AIR PRODUCTS & CHEMICALS INC (100%)",2015,311746
"VSI HOLDINGS LLC (100%)",2015,81878
"WR GRACE & CO (100%)",2015,21857
"WASHINGTON MILLS ELECTRO MINERALS CORP (100%)",2015,114164
"WESTLAKE CHEMICAL CORP (100%)",2015,901198
"WESTLAKE CHEMICAL CORP (100%)",2015,153471
"WESTLAKE CHEMICAL CORP (100%)",2015,166927
"WESTLAKE CHEMICAL CORP (100%)",2015,414595
"PHILLIPS 66 (100%)",2015,919999
"PFIZER INC (100%)",2015,17768
"CVR ENERGY INC (100%)",2015,19323
"PHOSPHATE HOLDINGS INC (100%)",2015,56779
"Yara North America (100%)",2015,33575
"3M Center (100%)",2014,53025
"3M Company (100%)",2014,1230363
"3M (100%)",2014,31048
"AbbVie Inc. (100%)",2014,98334
"ADA Carbon Solutions, LLC (100%)",2014,143455
"HONEYWELL INTERNATIONAL, INC (100%)",2014,1054913
"Gevo (100%)",2014,29157
"AGRIUM US INC (100%)",2014,921697
"AGRIUM US INC (100%)",2014,132249
"Air Liquide Large Industries US LP (100%)",2014,615455
"Air Liquide Large Industries U.S. LP (100%)",2014,398429
"AMERICAN AIR LIQUIDE HOLDINGS, INC (100%)",2014,17656
"Air Liquide Large Industries U.S. LP (100%)",2014,186343
"Air Liquide Large Industries U.S. LP (100%)",2014,414292
"Air Liquide America LP (100%)",2014,214866
"Air Liquide Large Industries US LP (100%)",2014,812331
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,871911
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,661624
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,131237
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,201206
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,692752
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,255067
"Air Products and Chemicals, Inc (100%)",2014,191345
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,831690
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,44826
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,273982
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,682241
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,769301
"Albemarle Corporation (100%)",2014,81716
"ALBEMARLE CORP (100%)",2014,84675
"Haverhill Chemicals, LLC (100%)",2014,35043
"ARKEMA INC (50%); NA INDUSTRIES, INC (50%)",2014,78388
"Chevron Phillips Chemical Company, LLC (50%); Trinseo (50%)",2014,618522
"AMGEN INC (100%)",2014,20621
"AMGEN INC (100%)",2014,28997
"THE DOW CHEMICAL CO (100%)",2014,93786
"FREEPORT MCMORAN COPPER & GOLD (50%); SOUTHWEST ENERGY (50%)",2014,432639
"ARIZONA CHEMICAL CO LLC (100%)",2014,76050
"Arkema Inc. (100%)",2014,62953
"Arkema Inc.  (100%)",2014,60359
"ARKEMA DELAWARE INC (100%)",2014,1562988
"Ascend Performance Materials Texas, Inc. (100%)",2014,593226
"SID RICHARDSON CARBON & ENERGY CO (100%)",2014,312312
"HONEYWELL Resins & Chemicals LLC (100%)",2014,153117
"Air Liquide USA Inc (100%)",2014,64110
"Air Liquide Large Industries US LP (100%)",2014,639279
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,167395
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,556163
"Air Products and Chemicals, Inc. (100%)",2014,2621033
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,844232
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,826861
"Air Products and Chemicals, Inc. (100%)",2014,375625
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,26738
"AIR PRODUCTS & CHEMICALS INC (100%)",2014,907356
"Air Products and Chemicals, Inc. (100%)",2014,72582
"Akzo Nobel Chemicals, Inc. (100%)",2014,24129
"Albemarle Corporation (100%)",2014,110615
"Alcon Laboratories, Inc. (100%)",2014,31404
"Arkema Inc. (100%)",2014,15878
"Ascend Performance Materials LLC (100%)",2014,670435
"Ascend Performance Materials LLC (100%)",2014,5608565
"GEORGIA GULF CORP (100%)",2014,75338
"AXIALL CORPORATION (100%)",2014,1291403
"B.Braun Medical US (100%)",2014,40353
"BASF CORP (100%)",2014,65079
"BASF CORP (100%)",2014,823240
"BASF CORP (100%)",2014,90595
"BASF CORP (100%)",2014,67166
"BASF CORP (100%)",2014,162938
"BASF CORP (100%)",2014,33492
"BASF CORP (100%)",2014,56574
"BASF Corporation (100%)",2014,662306
"BASF CORP (100%)",2014,1713602
"BAXTER INTERNATIONAL INC (100%)",2014,6025
"BAYER GROUP (100%)",2014,40824
"BIOGEN IDEC INC (100%)",2014,31908
"COLUMBIAN CHEMICALS CO (100%)",2014,100713
"Phillips 66  (100%)",2014,609303
"BP America Inc. (100%)",2014,186411
"BP America Inc (100%)",2014,100710
"BP AMERICA INC (100%)",2014,541869
"BRISTOL-MYERS SQUIBB CO (100%)",2014,61938
"MONSANTO CO (100%)",2014,98063
"Monsanto Company (100%)",2014,72856
"Bayer CropScience LP (100%)",2014,216047
"Air Liquide Large Industries US LP (100%)",2014,1622332
"ORION ENGINEERED CARBONS LLC (100%)",2014,191301
"SID RICHARDSON CARBON & ENERGY CO (100%)",2014,292172
"SID RICHARDSON CARBON & ENERGY CO (100%)",2014,288138
"ORION ENGINEERED CARBONS LLC (100%)",2014,202915
"TRONOX LTD (100%)",2014,25891
"BRISTOL-MYERS SQUIBB CO   (100%)",2014,25582
"Cabot Corporation (100%)",2014,365227
"CABOT CORP (100%)",2014,284454
"CABOT CORP (100%)",2014,5935
"Cabot Corporation (100%)",2014,470660
"CABOT CORP (100%)",2014,111906
"Calgon Carbon Corporation (100%)",2014,49804
"CALUMET LUBRICANTS CO LP (100%)",2014,25446
"CALUMET LUBRICANTS CO LP (100%)",2014,22752
"CALUMET LUBRICANTS CO LP (100%)",2014,52154
"CARESTREAM HEALTH INC (100%)",2014,34507
"Carus Corporation (100%)",2014,21168
"CF INDUSTRIES HOLDINGS INC (100%)",2014,6716321
"CF INDUSTRIES HOLDINGS INC (100%)",2014,2162954
"CF Industries, Inc. (100%)",2014,1259843
"LYONDELLBASELL (100%)",2014,2019906
"E I DU PONT DE NEMOURS & CO (100%)",2014,747536
"E I DU PONT DE NEMOURS & CO (100%)",2014,497579
"E. I. du Pont de Nemours & Co. (100%)",2014,860839
"E I DU PONT DE NEMOURS & CO (100%)",2014,60163
"E.I. du Pont de Nemours and Company (100%)",2014,5059786
"E I DU PONT DE NEMOURS & CO (100%)",2014,34683
"E I DU PONT DE NEMOURS & CO (100%)",2014,905409
"LSB Chemical Corporation (100%)",2014,428799
"MERCK & CO INC (100%)",2014,24453
"Chevron Phillips Chemical Company LP (100%)",2014,1442486
"Chevron Phillips Chemical Company LP (100%)",2014,38209
"Chevron Phillips Chemical Company LP (100%)",2014,479688
"CHEVRON CORP (100%)",2014,1303597
"CHEVRON CORP (100%)",2014,476662
"CHS INC (100%)",2014,234112
"NATIONAL COOPERATIVE REFINERY ASSOC (100%)",2014,251811
"Celanese Corporation (100%)",2014,453779
"CIP II/AR BRIDGEWATER HOLDINGS LLC (100%)",2014,29689
"CVR ENERGY INC (100%)",2014,1986359
"Columbian Chemicals (100%)",2014,259239
"Continental Carbon Company (100%)",2014,174202
"CONTINENTAL CARBON CO (100%)",2014,265181
"CONTINENTAL CARBON CO (100%)",2014,120565
"BAYER GROUP (100%)",2014,26162
"CSL BEHRING LLC (100%)",2014,39675
"CYTEC INDUSTRIES INC (100%)",2014,37187
"CALUMET LUBRICANTS CO LP (100%)",2014,11868
"E I DU PONT DE NEMOURS & CO (100%)",2014,13622
"E I DU PONT DE NEMOURS & CO (100%)",2014,134136
"E.I. duPont Nemours and Company (100%)",2014,119186
"E. I. duPont de Nemours and Company (100%)",2014,380310
"Chemtrade Logistics (100%)",2014,32248
"CHEVRON CORP (100%)",2014,141456
"CHEVRON CORP (93.1%); Chevron Phillips Chemical Company LLC (6.9%)",2014,1226973
"Chevron Phillips Chemical Company, LP (100%)",2014,1030423
"DYNO NOBEL INC (100%)",2014,491490
