"","x"
"5173","Hormel Foods Corporation"
"5174","Horry County Solid Waste Authority"
"5175","Horsehead Corporation"
"5176","Horsehead Holding Corp."
"5177","Horsehead corporation"
"5178","Houston County Board of Commissioners"
"5179","Houweling California Holdings, INC"
"5180","Houweling Nurseries Oxnard, Inc."
"5181","Howard County"
"5182","Howard County, Maryland"
"5183","Howard Energy Partners"
"5184","Howard Energy Partners LLC"
"5185","Howard University"
"5186","Howmet Aerospace Inc"
"5187","Huber Equity Corporation"
"5188","Hudson Energy NY, LLC"
"5189","Huhtamaki North America INC"
"5190","Humboldt Utilities"
"5191","Humboldt Waste Managment Authority"
"5192","Hunt Consolidated"
"5193","Hunt Consolidated Inc."
"5194","Hunt Consolidated, Inc."
"5195","Hunt Forest Products, LLC"
"5196","Hunt Oil Company"
"5197","Hunter Ridge Energy Services LLC"
"5198","Huntington Energy, L.L.C"
"5199","Huntsman International LLC"
"5200","Huntsman P&A Investments LLC"
"5201","Huntsman Petrochemical LLC"
"5202","Huntsman Petrochemical, LLC"
"5203","Huntsville Solid Waste Disposal Authority"
"5204","Huron Real Estate Associates, LLC."
"5205","Husker Ag, LLC"
"5206","Husky Energy CO"
"5207","Husky Energy Inc."
"5208","Husky Superior Refining Holding Corp"
"5209","Hutchinson Technology Inc"
"5210","Hutchinson Technology Inc."
"5211","Hutchinson Utilities Commission"
"5212","Hyde Park Holdings, L.L.C."
"5213","Hydro Extrusion North America"
"5214","Hyundai Motor Manufacturing Alabama, LLC"
"5215","IACX ENERGY LLC"
"5216","IACX Energy LLC"
"5217","IBERDROLA RENEWABLES LLC"
"5218","IBERDROLA USA INC"
"5219","IBM CORP"
"5220","IBM Corporation"
"5221","ICL Industrial Products"
"5222","ICL NORTH AMERICA INC"
"5223","ICL Performance Products LP"
"5224","ICL SPECIALTY PRODUCTS NORTH AMERICA INC"
"5225","ICL-PPLP (ICL PERFORMANCE PRODUCTS LP)"
"5226","ICL-PPLP (ICL Performance Products LP)"
"5227","ICM"
"5228","ICM INC"
"5229","ICM, Inc."
"5230","IDACORP"
"5231","IDACORP INC"
"5232","IDACORP, Inc"
"5233","IDAHO POWER"
"5234","IDAHO REGIONAL SOLID WASTE DISTRICT"
"5235","IDAHO WASTE SYSTEMS INC"
"5236","IESI"
"5237","IESI AR LANDFILL CORP"
"5238","IESI CORP"
"5239","IESI CORPORATION"
"5240","IESI Corporation"
"5241","IESI LA CORP"
"5242","IESI LA LANDFILL CORP"
"5243","IESI MO CORP"
"5244","IIF US HOLDING LP"
"5245","IIF US Holding LP"
"5246","IIG Minwool, LLC"
"5247","IKOMAT INDUSTRIES"
"5248","IKOMat Industries"
"5249","IL POMODORA INC"
"5250","IL Pomodora, Inc."
"5251","ILLINOIS GAS CO"
"5252","ILLINOIS GAS COMPANY"
"5253","ILLINOIS TOOL WORKS INC"
"5254","IMERYS USA INC"
"5255","IMERYS USA Inc."
"5256","IMG MIDSTREAM LLC"
"5257","IMG Midstream LLC"
"5258","IMPACT EXPLORATION & PRODUCTION"
"5259","IMPERIAL IRRIGATION DISTRICT"
"5260","IMPERIAL SUGAR CO"
"5261","IMTT-BAYONNE LLC"
"5262","IMTT-Bayonne, LLC"
"5263","INC COUNTY OF LOS ALAMOS"
"5264","INC COUNTY OF LOS ALAMOS NEW MEXICO"
"5265","INCOBRASA INDUSTRIES LTD"
"5266","INCOBRASA NORTH AMERICA LTD"
"5267","INDECK ENERGY"
"5268","INDECK ENERGY SERVICES INC"
"5269","INDECK-Corinth Limited Partnership"
"5270","INDIAN RIVER COUNTY"
"5271","INDIANA MUNICIPAL POWER AGENCY"
"5272","INDIANA UNIVERSITY"
"5273","INDIGO MINERALS LLC"
"5274","INDORAMA VENTURES HOLDINGS LP"
"5275","INDORAMA VENTURES INVESTMENT USA"
"5276","INDORAMA VENTURES USA HOLDINGS LP"
"5277","INDSPEC CHEMICAL CORP"
"5278","INEOS ABS (USA) Corporation"
"5279","INEOS AMERICAS LLC"
"5280","INEOS Joliet US Holdco LLC"
"5281","INEOS NOVA, LLC"
"5282","INEOS Nitriles USA LLC"
"5283","INEOS PIGMENTS USA INC"
"5284","INEOS STYROLUTION AMERICA LLC"
"5285","INEOS US CHEMICALS CO"
"5286","INEOS US Chemicals CO"
"5287","INEOS US I INC"
"5288","INEOS US I Inc"
"5289","INEOS USA LLC"
"5290","INERGY MIDSTREAM, LLC"
"5291","INFINEON TECHNOLOGIES AMERICAS CORP"
"5292","INGEVITY CORP"
"5293","INGOMAR PACKING CO"
"5294","INGOMAR PACKING CO LLC"
"5295","INGOMAR PACKING CO, LLC"
"5296","INGREDION INC"
"5297","INNOVIA FILMS INC"
"5298","INPEX AMERICAS INC"
"5299","INSTANT BRANDS LLC"
"5300","INTEGRYS ENERGY GROUP INC"
"5301","INTEL CORP"
"5302","INTENSITY MIDSTREAM LLC"
"5303","INTER-POWER/AHL/CON PARTNERS LP"
"5304","INTER-POWER/AHLCON PARTNERS LP"
"5305","INTERLOCK INDS INC"
"5306","INTERMOUNTAIN POWER AGENCY"
"5307","INTERMOUNTAIN RURAL ELEC ASSN"
"5308","INTERMOUNTAIN RURAL ELECTRIC ASSOC"
"5309","INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP NORTH AMERICA INC"
"5310","INTERNATIONAL AUTOMOTIVE COMPONENTS NORTH AMERICA"
"5311","INTERNATIONAL FLAVORS & FRAGRANCES INC"
"5312","INTERNATIONAL GRAND INVESTMENT CORP"
"5313","INTERNATIONAL MATEX TANK TERMINALS"
"5314","INTERNATIONAL PAPER - MAYSVILLE MILL"
"5315","INTERNATIONAL PAPER CO"
"5316","INTERNATIONAL RECTIFIER"
"5317","INTERNATIONAL TEXTILE GROUP"
"5318","INTERNATIONAL-MATEX TANK TERMINALS LLC"
"5319","INTERSIL CORP"
"5320","INTERSTATE RESOURCES INC"
"5321","INTERSTATE WASTE SERVICES"
"5322","INTREPID POTASH INC"
"5323","INTREPID POTASH, INC"
"5324","INVENERGY LLC"
"5325","IOTC"
"5326","IOWA ETHANOL LLC D.B.A. POET Biorefining - Hanlontown"
"5327","IOWA FERTILIZER CO LLC"
"5328","IOWA FERTLIZER CO LLC"
"5329","IOWA STATE UNIVERSITY"
"5330","IOWA STATE UNIVERSITY OF SCIENCE &  TECHNOLOGY"
"5331","IOWA WASTE SERVICES LLC"
"5332","IOWA WASTE SYSTEMS INC"
"5333","IOWA WASTE SYSTEMS, INC"
"5334","IPR-GDF SUEZ ENERGY NORTH AMERICA INC"
"5335","IPR-GDF SUEZ Energy North America"
"5336","IPR-GDF SUEZ Energy North America, Inc."
"5337","IPR-GDF SUEZ NORTH AMERICA INC"
"5338","IPR-GDF SUEZ NORTH AMERICA, INC"
"5339","IPR-GDF SUEZ North America, Inc"
"5340","IPR-GDF SUEZ North America, Inc."
"5341","IPR-GDF SUEZ North American, Inc"
"5342","IPR-GDF Suez Energy North America"
"5343","IPR-GDF Suez North America"
"5344","IPR-GDF Suez North America, Inc"
"5345","IPR-GDFSUEZ NORTH AMERICA, INC."
"5346","IPSCO TUBULARS INC"
"5347","IPSCO TUBULARS LLC"
"5348","IPSCO Tubulars Inc."
"5349","IPSCO Tubulars LLC"
"5350","IREDELL COUNTY"
"5351","IREDELL COUNTY NORTH CAROLINA"
"5352","IRG REALTY ADVISORS LLC"
"5353","IRG Realty Advisors, LLC"
"5354","IRON HORSE MIDSTREAM LLC"
"5355","IRON SENERGY HOLDING LLC"
"5356","IRONCLAD ENERGY PARTNERS"
"5357","IRONCLAD ENERGY PARTNERS LLC"
"5358","IROQUOIS BIO ENERGY CO LLC"
"5359","IROQUOIS BIO-ENERGY CO LLC"
"5360","IROQUOIS GAS TRANSMISSION SYSTEM LP"
"5361","IROQUOIS GAS TRANSMISSION SYSTEM, LP"
"5362","IRVING CONSUMER PRODUCTS INC"
"5363","IRVING JD LTD"
"5364","IRVING TISSUE INC"
"5365","IRWS LLC"
"5366","ISLAND ENERGY INVESTOR HOLDINGS"
"5367","ISLAND ENERGY INVESTOR HOLDINGS LLC"
"5368","ISLAND ENERGY SERVICES, LLC"
"5369","ISLIP RESOURCE RECOVERY AGENCY"
"5370","ISOLATEK INTERNATIONAL"
"5371","ISP CHEMCO LLC"
"5372","ISP Chemicals LLC"
"5373","ISQ OREGON LLC"
"5374","ISQ Oregon (Acquisition), LLC"
"5375","ITAFOS CONDA HOLDINGS"
"5376","ITC HOLDINGS CORP"
"5377","ITC Holdings Corp"
"5378","ITC INVESTMENT HOLDING INC"
"5379","ITC INVESTMENT HOLDINGS INC"
"5380","ITOCHU INTERNATIONAL INC"
"5381","Iberdrola Renewables"
"5382","Iberdrola Renewables LLC"
"5383","Iberdrola USA, Inc."
"5384","Idaho Power"
"5385","Idaho Power CO"
"5386","Idaho Power Company"
"5387","Idaho Regional Waste Services, LLC"
"5388","Idaho Waste Services, INC"
"5389","Illinois Tool Works"
"5390","Imerys Carbonates LLC"
"5391","Imerys Clays Inc"
"5392","Imerys Clays Inc."
"5393","Imerys Filtration Minerals, Inc."
"5394","Imerys S.A."
"5395","Impact Exploration & Production"
"5396","Imperial Irrigation District"
"5397","Imperial Sugar Co."
"5398","Imperial Sugar Company"
"5399","Imperium Grays Harbor"
"5400","Indeck Energy Services Inc."
"5401","Indeck Energy Services of Silver Springs, Inc."
"5402","Indeck Energy Services, Inc."
"5403","Indeck Energy-Alexandria, LLC"
"5404","Indeck Niles, LLC"
"5405","Indeck-Corinth Limited Partnership"
"5406","Indeck-Oswego Limited Partnership"
"5407","Indeck-Yerkes Limited Partnership"
"5408","Indian River County"
"5409","Indiana Municipal Power"
"5410","Indiana Municipal Power Agency"
"5411","Indiana Municipal Power Agency (IMPA 100% owns GT2 and GT3)"
"5412","Indiana University"
"5413","Indigo Minerals, LLC"
"5414","Indigo Resources LLC"
"5415","Individual Investors (JJ Fair, Jim Rice, Ron Watkins, Rich Weiss)"
"5416","Indorama Ventures Holdings LP"
"5417","Indorama Ventures Oxides LLC"
"5418","Ineos Americas, LLC"
"5419","Inergy Midstream, LLC"
"5420","Inergy Propane LP"
"5421","Inergy West Coast LLC"
"5422","Infineon Technologies Americas Corp"
"5423","Infinity Natural Resources, LLC"
"5424","Ingevity CORP"
"5425","Ingevity SC, LLC"
"5426","Ingomar Packing Company, LLC"
"5427","Ingredion Inc."
"5428","Ingredion Incorporated"
"5429","Inland Empire Energy Center, LLC"
"5430","Inpex Americas Inc"
"5431","Instant Brands LLC"
"5432","Integrated Device Technology, Inc."
"5433","Integrys Energy Group Inc"
"5434","Integrys Energy Group Inc."
"5435","Intel Copororation"
"5436","Intel Corporation"
"5437","Inter-Power/AhlCon Partners, L.P."
"5438","Intermountain Power Agency"
"5439","Intermountain Rural Elec Assn"
"5440","International Automotive Components"
"5441","International Business Machines Corporation"
"5442","International Flavors and Fragrances Inc."
"5443","International Grand Investment Corporation"
"5444","International Matex Tank Terminals"
"5445","International Paper"
"5446","International Paper - Maysville Mill"
"5447","International Paper Company"
"5448","International Rectifier"
"5449","International Specialty Products, Inc."
"5450","International Textile Group"
"5451","Intersil CORP"
"5452","Interstate Resources, Inc."
"5453","Interstate Waste Services"
"5454","Intrepid Potash, Inc"
"5455","Intrepid Potash, Inc."
"5456","Invenergy Investment Company LLC"
"5457","Invenergy LLC"
"5458","Iowa Army Ammunition Plant"
"5459","Iowa Ethanol LLC D.B.A. POET Biorefining - Hanlontown"
"5460","Iowa Fertilizer Co LLC"
"5461","Iowa State University"
"5462","Iowa Waste Systems, Inc."
"5463","Iredell County"
"5464","Iron Horse Midstream LLC"
"5465","Iron Senergy Holding, LLC"
"5466","Ironclad Energy Partners"
"5467","Iroquois Bio Energy Company LLC"
"5468","Iroquois Gas Transmission System, LP"
"5469","Irving Consumer Products Inc"
"5470","Irving Tissue, Inc."
"5471","Islip Resource Recovery Agency"
"5472","Isolatek International"
"5473","Itafos Conda Holdings"
"5474","J CLEO THOMPSON & JAMES CLEO THOMPSON JR L P"
"5475","J CLEO THOMPSON & JAMES CLEO THOMPSON JR LP"
"5476","J POWER USA DEVELOPMENT CO LTD"
"5477","J Power"
"5478","J Power USA Development Co Ltd"
"5479","J R Simplot Company"
"5480","J-POWER USA"
"5481","J-POWER USA DEVELOPMENT CO LTD"
"5482","J-POWER USA Generation, L.P."
"5483","J-Power Development Co, LTD."
"5484","J-Power USA"
"5485","J-Power USA Development Co, LTD."
"5486","J-Power USA Development Co. ltd"
"5487","J-Power USA Development Co. ltd."
"5488","J-Power USA development Co. ltd."
"5489","J-W Operating Company"
"5490","J. Cleo Thompson & James Cleo Thompson, Jr. L.P."
"5491","J. M. Huber Corporation"
"5492","J. R. Simplot Company"
"5493","J.G. Boswell Company"
"5494","J.L. French Automotive Castings Inc."
"5495","J.L. French Corporation Gateway"
"5496","J.M. Huber"
"5497","J.M. Huber Corporation"
"5498","J.M. Smucker Company"
"5499","J.R. Simplo Company"
"5500","J.R. Simplot Company"
"5501","J.R.Simplot Company"
"5502","JACKSON ENERGY AUTHORITY"
"5503","JACKSONVILLE ELECTRIC AUTHORITY"
"5504","JAGGED PEAK ENERGY LLC"
"5505","JAMES HARDIE BUILDING PRODUCTS INC"
"5506","JAMES HARDIE BUILDING PRODUCTS, INC."
"5507","JAMES HARDIE INDUSTRIES PUBLIC LTD CO"
"5508","JAMES LAKE MIDSTREAM LLC"
"5509","JAMES LAKE MIDSTREAM, LLC"
"5510","JAMES MADISON UNIVERSITY"
"5511","JAMES RIVER COGENERATION CO"
"5512","JAMES RIVER GENCO, LLC"
"5513","JAMES VALLEY ETHANOL"
"5514","JAMES VALLEY ETHANOL LLC"
"5515","JAS W GLOVER LTD"
"5516","JAY-BEE OIL & GAS INC"
"5517","JAY-BEE OIL & GAS LLC"
"5518","JAYNE WRIGHTSMAN CO"
"5519","JAZZ SEMICONDUCTOR INC"
"5520","JBA USA HOLDINGS LLC"
"5521","JBS USA"
"5522","JBS USA FOOD CO"
"5523","JBS USA LLC"
"5524","JEA"
"5525","JEFFERSON COUNTY"
"5526","JEFFERSON COUNTY AL"
"5527","JEFFERSON COUNTY ALABAMA"
"5528","JEFFERSON PARISH DAVIS LANDFILL"
"5529","JEFFERSON PARISH GOVERNMENT"
"5530","JELD-WEN HOLDING INC"
"5531","JELD-WEN INC"
"5532","JELD-WEN, inc."
"5533","JERA Co, Inc"
"5534","JERA ENERGY AMERICA LLC"
"5535","JERA Energy America LLC"
"5536","JERRITT CANYON GOLD LLC"
"5537","JFE Holdings"
"5538","JG BOSWELL CO"
"5539","JKLM ENERGY LLC"
"5540","JKLM Energy LLC"
"5541","JM HUBER CORP"
"5542","JM SMUCKER CO"
"5543","JMA ENERGY CO LLC"
"5544","JMA Energy Company LLC"
"5545","JMC STEEL GROUP"
"5546","JMC Steel Group"
"5547","JOE JENKINS"
"5548","JOHN SEXTON CONTRACTORS"
"5549","JOHNS HOPKINS UNIVERSITY"
"5550","JOHNSON & LINDLEY INC"
"5551","JOHNSON & LINDLEY LLC"
"5552","JOHNSON AND LINDLEY, INC"
"5553","JOHNSON CONTROLS INC"
"5554","JOHNSON LINDLEY, INC"
"5555","JOHNSTON COUNTY DEPARTMENT OF PUBLIC UTILITIES"
"5556","JOINT SOLID WASTE DISPOSAL BOARD CITY & COUNT OF PEORIA"
"5557","JONAH ENERGY HOLDINGS LLC"
"5558","JONAH ENERGY PARENT LLC"
"5559","JONAH GAS GATHERING CO"
"5560","JONES ENERGY HOLDINGS LLC"
"5561","JONES ENERGY INC"
"5562","JONES SANITATION"
"5563","JORDAN DEVELOPMENT CO LLC"
"5564","JORDAN DEVELOPMENT CORP LLC"
"5565","JOSH BRAY DBA SANITATION SOLUTIONS"
"5566","JOY GLOBAL INC"
"5567","JP MASCARO & SONS"
"5568","JR SIMPLOT CO"
"5569","JSW STEEL HOLDING USA INC"
"5570","JSW STEEL USA OHIO INC"
"5571","JSW Steel USA INC"
"5572","JUPITER ALUMINUM CORP"
"5573","JW CHILDS LP"
"5574","JW Childs"
"5575","JX NIPPON CHEMICAL TEXAS INC"
"5576","JX NIPPON OIL & ENERGY USA INC"
"5577","JX Nippon Chemical Texas Inc"
"5578","JX Nippon Oil and Energy"
"5579","Jackson County, Michigan"
"5580","Jackson Energy Authority"
"5581","Jagged Peak Energy LLC"
"5582","James River Coal Company"
"5583","James River Coal Corporation"
"5584","James River Cogeneration Company"
"5585","James Valley Ethanol"
"5586","James Valley Ethanol LLC"
"5587","Jas W Glover Ltd"
"5588","Jasa Hill Holding Company"
"5589","Javelin Energy Partners"
"5590","Jay-Bee Oil & Gas LLC"
"5591","Jay-Bee Oil & Gas Wellsites"
"5592","Jayne Wrightsman Company"
"5593","Jazz Semiconductor Inc"
"5594","Jefferies Financial Group"
"5595","Jefferies Financial Group Inc"
"5596","Jefferson County, AL"
"5597","Jefferson Davis Landfill Commission"
"5598","Jefferson Gulf Coast Management Partners LLC"
"5599","Jefferson Parish Davis Landfill"
"5600","Jefferson Parish Government"
"5601","Jera Americas Holdings Inc"
"5602","Jera Power Linden HD LLC"
"5603","Jera Power Linden, LLC"
"5604","Joe Jenkins"
"5605","John Sexton Contractors"
"5606","John Sexton Sand & Gravel"
"5607","John Sexton Sand and Gravel Company"
"5608","Johnson Controls Battery Group, Inc."
"5609","Johnston County Department of Public Utilities"
"5610","Johnston County Department of Solid Waste Services"
"5611","Joint Solid Waste Disposal Board, City and Count of Peoria"
"5612","Joint Solid Waste Disposal Board, City and County of Peoria"
"5613","Jonah Energy Holdings LLC"
"5614","Jonah Energy Parent LLC"
"5615","Jonah Gas Gathering Company"
"5616","Jones Energy Holdings, LLC"
"5617","Jones Lang LaSalle at Beaumont Health System, L.L.C."
"5618","Jones Lang LaSalle at Beaunont Health System, L.L.C."
"5619","Jones Sanitation"
"5620","Jordan Development Corporation, LLC"
"5621","Josh Bray, dba Sanitation Solutions"
"5622","Joy Global"
"5623","Joy Global Inc."
"5624","Jupiter Aluminum Corp"
"5625","K+S MONTANA HOLDINGS LLC"
"5626","KAAPA ETHANOL LLC"
"5627","KAAPA ETHANOL, LLC"
"5628","KAAPA Ethanol Ravenna LLC"
"5629","KAAPA Ethanol, LLC"
"5630","KAISER ALUMINUM CORP"
"5631","KAISER ALUMINUM FABRICATED PRODUCTS LLC"
"5632","KAISER-FRANCIS OIL CO"
"5633","KALAELOA PARTNERS LP"
"5634","KAMIN HOLDCO LLC"
"5635","KAMO POWER"
"5636","KAMO Power"
"5637","KANEKA AMERICA HOLDINGS INC"
"5638","KANEKA AMERICAS HOLDING INC"
"5639","KANEKA TEXAS CORP"
"5640","KANSAS CITY POWER & LIGHT CO"
"5641","KANSAS ELECTRIC POWER COOPERATIVE INC"
"5642","KANSAS ELECTRIC POWER COOPERATIVE, INC"
"5643","KANSAS ETHANOL LLC"
"5644","KANSAS ETHANOL, LLC"
"5645","KAPSTONE PAPER & PACKAGING CORP"
"5646","KARNAVATI HOLDINGS INC"
"5647","KASH OIL & GAS - BASIN 220"
"5648","KAUAI ISLAND UTILITY COOPERATIVE"
"5649","KCR POWER CO LLC"
"5650","KCR Power Company LLC"
"5651","KELLOGG CO"
"5652","KENAI PENINSULA BOROUGH"
"5653","KENAI PENINSULA BOROUGH (INC)"
"5654","KENAMERICAN RESOURCES INC"
"5655","KENT CORP"
"5656","KENT COUNTY DEPARTMENT OF PUBLIC WORKS"
"5657","KENT COUNTY MICHIGAN DEPARTMENT OF PUBLIC WORKS"
"5658","KENT COUNTY OF (INC)"
"5659","KENT STATE UNIVERSITY"
"5660","KERN COUNTY PUBLIC WORKS DEPARTMENT"
"5661","KERN FRONT COGENERATION PL"
"5662","KERN FRONT LTD"
"5663","KERN OIL & REFINING CO"
"5664","KERR MCGEE GATHERING LLC"
"5665","KERR MCGEE GATHERING, LLC"
"5666","KEYCON OPERATING LLC"
"5667","KEYCON POWER HOLDINGS LLC"
"5668","KEYMARK CORP"
"5669","KEYSPAN ENERGY CORPORATION"
"5670","KEYSTONE CONSOLIDATED INDUSTRIES INC"
"5671","KEYSTONE SANITARY LANDFILL INC"
"5672","KEYSTONE SANITARY LANDFILL, INC"
"5673","KGen Power Corporation"
"5674","KIA MOTORS AMERICA"
"5675","KIA MOTORS CORP"
"5676","KILBARGER CONSTRUCTION INC"
"5677","KIMBERLY-CLARK CORP"
"5678","KIMBLE CO"
"5679","KINDER MORGAN"
"5680","KINDER MORGAN ENERGY PTNR LP"
"5681","KINDER MORGAN INC"
"5682","KINDER MORGAN OPERATING LP"
"5683","KINDER MORGAN OPERATING LP ""A"""
"5684","KINDER MORGAN SNG OPERATOR LLC"
"5685","KINDER MORGAN TEXAS PIPELINE LLC"
"5686","KINETICA PARTNERS LLC"
"5687","KING COUNTY SOLID WASTE DIV"
"5688","KINGFISHER MIDSTREAM LLC"
"5689","KINGS WASTE & RECYCLING AUTHORITY"
"5690","KINGSBURG ENERGY LLC"
"5691","KINGSBURG ENERGY, LLC"
"5692","KIOWA POWER PARTNERS LLC"
"5693","KKR & CO INC"
"5694","KKR & Co"
"5695","KLEEN ENERGY HOLDINGS LLC"
"5696","KLEEN ENERGY SYSTEMS LLC"
"5697","KMC THERMO LLC"
"5698","KMC Thermo, LLC."
"5699","KMCO LLC"
"5700","KMCO, L.P."
"5701","KMCO, LLC"
"5702","KMG CHEMICALS INC"
"5703","KMG Chemicals, Inc."
"5704","KNAUF INSULATION"
"5705","KNAUF INSULATION GMBH"
"5706","KNIGHT HAWK COAL LLC"
"5707","KNIGHT HAWK HOLDINGS LLC"
"5708","KNOX COUNTY LANDFILL"
"5709","KOBE STEEL USA HOLDINGS INC"
"5710","KOBE STEEL USA INC"
"5711","KOBE Steel USA Inc."
"5712","KOCH ENTERPRISES INC"
"5713","KOCH ENTERPRISES, INC"
"5714","KOCH FOODS INC"
"5715","KOCH INDUSTRIES INC"
"5716","KOCH INDUSTRIES, INC."
"5717","KOCH INDUSTRIES,INC."
"5718","KODA RESOURCES"
"5719","KOHLBERG KRAVIS ROBERTS & CO LP"
"5720","KOHLER CO"
"5721","KOMATSU AMERICA CORP"
"5722","KOOTENAI COUNTY"
"5723","KOPPERS INC"
"5724","KORDSA INC"
"5725","KORT INVESTMENTS LLC"
"5726","KORT INVESTMENTS LP"
"5727","KOSEI AMERICA HOLDINGS INC"
"5728","KPAQ INDUSTRIES, LLC"
"5729","KPAQ Industries, LLC"
"5730","KRAFT FOODS GLOBAL,INC"
"5731","KRAFT FOODS INC"
"5732","KRAFT HEINZ CO"
"5733","KRAFT HEINZ FOOD CO"
"5734","KRAFT HEINZ FOODS CO"
"5735","KRAKEN OIL & GAS III LLC"
"5736","KRAKEN OIL & GAS LLC"
"5737","KRAKEN OPERATING LLC"
"5738","KRATON CHEMICAL CO LLC"
"5739","KRATON CO"
"5740","KRATON CORP"
"5741","KRATON POLYMERS U.S. LLC"
"5742","KRATON POLYMERS US LLC"
"5743","KREWE ENERGY LLC"
"5744","KRONOS LOUISIANA INC"
"5745","KRONOS Louisiana, Inc."
"5746","KRONOSPAN INC"
"5747","KTG (USA) INC"
"5748","KTG (USA) Inc."
"5749","KUDU MIDSTREAM LLC"
"5750","KURARAY HOLDINGS USA INC"
"5751","KYOEI STEEL LTD"
"5752","KYOWA HAKKO BIO"
"5753","KYOWA HAKKO USA INC"
"5754","KaMin Holdco LLC"
"5755","KaMin Holdo LLC"
"5756","Kaiser Aluminum Fabricated Products, LLC."
"5757","Kaiser Group International, Inc."
"5758","Kaiser-Francis Oil Company"
"5759","Kalaeloa Partners L.P."
"5760","Kane County"
"5761","Kaneka America Holdings Inc."
"5762","Kaneka Nutrients LP"
"5763","Kansas City Power & Light Company - Greater Missouri Operations Company"
"5764","Kansas Ethanol, L.L.C."
"5765","Kansas State University"
"5766","KapStone Paper"
"5767","KapStone Paper and Packaging Corporation"
"5768","Kash Oil & GAS - Basin 220"
"5769","Kauai Island Utility Cooperative"
"5770","Kellogg Company"
"5771","KenAmerican Resources Inc."
"5772","Kenai Peninsula Borough"
"5773","Kendall Green Energy Holdings, LLC"
"5774","Kensing LLC"
"5775","Kent Corporation"
"5776","Kent County Department of Public Works"
"5777","Kent County Michigan, Department of Public Works"
"5778","Kent State University"
"5779","Kentucky Utilities Co"
"5780","Kern County Public Works Department"
"5781","Kern County Waste Management Department"
"5782","Kern Front Ltd"
"5783","Kern Front Ltd."
"5784","Kern Oil & Refining Company"
"5785","Kerr-McGee Oil and Gas Corporation"
"5786","Key Ingredients, Inc."
"5787","Key Production Co."
"5788","KeySpan Corporation"
"5789","KeySpan Gas East Corporation"
"5790","Keymark Corporation"
"5791","Keystone Consolidated Industries, Inc."
"5792","Keystone Sanitary Landfill, Inc."
"5793","KiOR, Inc"
"5794","Kia Motors America"
"5795","Kilbarger Construction, Inc."
"5796","Kimberly-Clark Corporation"
"5797","Kimberly-Clark Corporation - World Headquarters"
"5798","Kimberly-Clark Corporation, Owensboro Operations"
"5799","Kimble Company"
"5800","Kimble Sanitayr Landfill"
"5801","Kinder Morgan"
"5802","Kinder Morgan Battleground Oil LLC"
"5803","Kinder Morgan Energy Partners"
"5804","Kinder Morgan Energy Partners L.P."
"5805","Kinder Morgan Energy Partners, L..P."
"5806","Kinder Morgan Energy Partners, L.P"
"5807","Kinder Morgan Energy Partners, L.P."
"5808","Kinder Morgan Energy Partners, LP"
"5809","Kinder Morgan Energy Partners. L.P."
"5810","Kinder Morgan Engergy Partners, L.P."
"5811","Kinder Morgan Operating LP ""A"""
"5812","Kinder Morgan Operating Limited Partnership"
"5813","Kinder Morgan Operating Limited Partnership ""A"""
"5814","Kinder Morgan Operating Partnership ""A"""
"5815","Kinder Morgan Production Company LP."
"5816","Kinder Morgan SNG Operator LLC"
"5817","Kinder Morgan SNG Operator LLC, a Delaware LLC"
"5818","Kinder Morgan Texas Pipeline LLC"
"5819","Kinder Morgan W2E Pipeline LLC"
"5820","Kinder Morgan, Inc."
"5821","Kinder Morgen Energy Partners, L.P."
"5822","Kinder Morgn Energy Partners L.P."
"5823","Kinder Morgn Energy Partners, L.P."
"5824","Kinetica Partners LLC"
"5825","King County"
"5826","King County Solid Waste Division"
"5827","King George County, Virginia"
"5828","Kingfisher Midstream, LLC"
"5829","Kings River Conservation District"
"5830","Kings Waste & Recycling Authority"
"5831","Kingsburg Energy, LLC"
"5832","Kiowa Power Partners, LLC"
"5833","Klausner Holding USA INC"
"5834","Kleen Energy Holdings, LLC"
"5835","Knauf Insulation GmbH"
"5836","Knight Hawk Coal, LLC"
"5837","Knight Hawk Holdings, LLC"
"5838","Knox County Landfill"
"5839","Koch Enterprises, Inc."
"5840","Koch Foods"
"5841","Koch Foods Inc"
"5842","Koch Foods Inc."
"5843","Koch Industries, Inc"
"5844","Koch Industries, Inc."
"5845","Koch Industries,Inc."
"5846","Kodiak Oil& Gas Corp."
"5847","Kohler Co."
"5848","Kootenai County"
"5849","Koppers Inc."
"5850","Kort Investments, LLC"
"5851","Kosei America Holdings Inc"
"5852","Kraft Foods Global Inc."
"5853","Kraft Foods Global, Inc."
"5854","Kraft Foods Group INC"
"5855","Kraft Heinz Foods CO"
"5856","Kraken Oil & Gas III, LLC"
"5857","Kraton Polymers U.S., LLC"
"5858","Kronospan Inc"
"5859","Kudu Midstream LLC"
"5860","Kyowa Hakko Bio"
"5861","L'Anse Warden Electric CO, LLC"
"5862","L.P. Gill Incorporated"
"5863","LA CROSSE COUNTY WISCONSIN"
"5864","LA PALOMA GENERATING CO LLC"
"5865","LA PAZ COUNTY"
"5866","LABOR IMPACT FUND LP"
"5867","LABORATORY CORP OF AMERICA HOLDINGS"
"5868","LACTALIS AMERICAN GROUP"
"5869","LACTALIS AMERICAN GROUP INC"
"5870","LAFARGE MIDWEST INC"
